Ubicacion,Fallo,Tiempo_medio_entre_fallos(h),Promedio_Temperatura_C,Promedio_Vibracion_mm_s,Promedio_Horas_Operativas,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
Planta Norte,1,656.7142857142857,125.85,0.88,86870.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,0,604.7272727272727,75.845,3.87,50812.5,Generador,Siemens,X100,4387.0,665
Planta Norte,0,604.7272727272727,59.31,1.05,37821.0,Generador,Siemens,X100,4387.0,665
Planta Norte,0,604.7272727272727,141.46,4.83,38757.0,Generador,Siemens,X100,4387.0,665
Planta Norte,0,604.7272727272727,142.04,2.1,26097.0,Generador,Siemens,X100,4387.0,665
Planta Sur,0,1966.0,86.69999999999999,2.695,50895.5,Motor,Siemens,X100,1895.0,4108
Planta Sur,0,1966.0,70.69,3.94,27534.0,Motor,Siemens,X100,1895.0,4108
Planta Sur,0,1966.0,76.77,0.67,3317.0,Motor,Siemens,X100,1895.0,4108
Planta Norte,1,857.5555555555555,127.48,0.84,61519.0,Transformador,Siemens,Y200,4850.0,1762
Planta Norte,1,857.5555555555555,137.1,4.15,35274.0,Transformador,Siemens,Y200,4850.0,1762
Planta Este,1,728.0833333333334,88.64,2.09,86769.0,Generador,Siemens,Z300,3332.0,6373
Planta Oeste,1,1352.5714285714287,102.52,3.4,95502.0,Transformador,Siemens,M400,791.0,2011
Planta Oeste,0,889.2857142857143,94.82,4.0,2790.0,Generador,Schneider,Y200,2895.0,3266
Planta Sur,0,1037.0,148.49,3.83,14734.0,Transformador,ABB,X100,275.0,7358
Planta Sur,0,1037.0,86.79,2.83,99261.0,Transformador,ABB,X100,275.0,7358
Planta Sur,0,1037.0,139.87,0.53,43411.0,Transformador,ABB,X100,275.0,7358
Planta Oeste,0,629.5,144.85,3.21,46970.0,Compresor,ABB,Z300,233.0,3890
Planta Oeste,0,629.5,77.43,2.2,73654.0,Compresor,ABB,Z300,233.0,3890
Planta Oeste,1,2709.3333333333335,72.81,4.78,51504.0,Generador,GE,M400,4989.0,4729
Planta Sur,1,830.7272727272727,122.81,2.45,82301.0,Compresor,GE,Z300,2678.0,9876
Planta Sur,1,830.7272727272727,125.75,4.98,98451.0,Compresor,GE,Z300,2678.0,9876
Planta Sur,0,1154.625,136.44,0.98,32909.0,Motor,Schneider,Z300,1484.0,1407
Planta Sur,0,1154.625,118.81,2.2,2421.0,Motor,Schneider,Z300,1484.0,1407
Planta Sur,0,1154.625,146.27,1.48,21926.0,Motor,Schneider,Z300,1484.0,1407
Planta Este,1,1091.25,146.78,3.79,48141.0,Motor,ABB,Z300,3028.0,8369
Planta Este,1,1091.25,101.97,1.6,21763.0,Motor,ABB,Z300,3028.0,8369
Planta Este,0,867.0,95.02,0.98,35357.0,Transformador,GE,Y200,3653.0,8467
Planta Este,1,626.7333333333333,60.49,1.11,51487.0,Generador,ABB,M400,1536.0,1999
Planta Sur,1,674.2857142857143,108.26,4.03,16734.0,Transformador,GE,Y200,100.0,7685
Planta Sur,1,674.2857142857143,124.09,1.33,59476.0,Transformador,GE,Y200,100.0,7685
Planta Oeste,0,858.0,92.4,3.74,84390.0,Generador,GE,M400,4412.0,1491
Planta Oeste,0,858.0,113.87,3.08,20306.0,Generador,GE,M400,4412.0,1491
Planta Oeste,0,978.2,118.31,1.29,29831.0,Motor,Siemens,Z300,4733.0,3301
Planta Oeste,0,978.2,96.23,1.78,90164.0,Motor,Siemens,Z300,4733.0,3301
Planta Oeste,0,519.7692307692307,96.6,0.12,70425.0,Motor,ABB,X100,163.0,1073
Planta Norte,1,769.0833333333334,78.05,1.0,47905.0,Transformador,GE,X100,4406.0,1237
Planta Norte,1,769.0833333333334,124.78,4.5,56824.0,Transformador,GE,X100,4406.0,1237
Planta Norte,1,1966.0,86.69999999999999,2.695,50895.5,Motor,Siemens,X100,1895.0,4108
Planta Norte,1,1966.0,70.69,3.94,27534.0,Motor,Siemens,X100,1895.0,4108
Planta Norte,1,1966.0,76.77,0.67,3317.0,Motor,Siemens,X100,1895.0,4108
Planta Sur,1,1566.5,50.93,2.3,40622.0,Compresor,Schneider,X100,4990.0,4462
Planta Sur,1,1566.5,137.41,2.72,55520.0,Compresor,Schneider,X100,4990.0,4462
Planta Norte,0,801.7777777777778,118.58,1.43,71207.0,Generador,Schneider,M400,4194.0,7519
Planta Norte,0,801.7777777777778,56.53,4.63,45017.0,Generador,Schneider,M400,4194.0,7519
Planta Norte,0,983.25,146.26,3.8,61348.0,Compresor,Schneider,M400,3407.0,5079
Planta Norte,0,983.25,82.98,3.09,18824.0,Compresor,Schneider,M400,3407.0,5079
Planta Norte,1,951.2,112.38,3.84,6958.0,Motor,ABB,Y200,742.0,4856
Planta Norte,1,951.2,102.16,3.16,50348.0,Motor,ABB,Y200,742.0,4856
Planta Sur,0,999.6666666666666,130.07,0.37,53524.0,Generador,Siemens,X100,4231.0,9047
Planta Este,1,837.4545454545455,81.21,4.09,56219.0,Transformador,Schneider,X100,968.0,2098
Planta Norte,1,1482.5,113.15,2.11,90374.0,Motor,ABB,Y200,4152.0,3183
Planta Norte,1,1482.5,125.23,0.38,6902.0,Motor,ABB,Y200,4152.0,3183
Planta Este,0,849.8,118.73,1.46,47827.0,Motor,ABB,Z300,2601.0,8640
Planta Este,0,849.8,105.06,2.46,91036.0,Motor,ABB,Z300,2601.0,8640
Planta Este,1,1100.125,95.57,4.01,11388.0,Compresor,Schneider,Y200,3111.0,4591
Planta Este,1,1100.125,110.9,0.23,22343.0,Compresor,Schneider,Y200,3111.0,4591
Planta Sur,0,1210.3333333333333,121.59,4.1,91927.0,Transformador,Schneider,Z300,4868.0,9440
Planta Sur,0,1210.3333333333333,112.18,4.38,7413.0,Transformador,Schneider,Z300,4868.0,9440
Planta Sur,0,1210.3333333333333,129.46,0.34,97022.0,Transformador,Schneider,Z300,4868.0,9440
Planta Sur,0,1210.3333333333333,55.45,0.74,66013.0,Transformador,Schneider,Z300,4868.0,9440
Planta Oeste,1,1633.4,99.73,0.92,30431.0,Compresor,GE,M400,3918.0,1988
Planta Oeste,1,1633.4,65.42,2.82,67614.0,Compresor,GE,M400,3918.0,1988
Planta Sur,1,671.2142857142857,60.43,3.1,43241.0,Compresor,GE,M400,4929.0,5941
Planta Sur,1,759.5,66.31,4.86,14593.0,Transformador,Schneider,M400,2374.0,2922
Planta Sur,1,759.5,90.07,3.8,17941.0,Transformador,Schneider,M400,2374.0,2922
Planta Norte,0,775.8181818181819,78.72,2.15,54891.0,Compresor,Schneider,Y200,1568.0,6806
Planta Norte,0,838.1428571428571,77.15,3.79,45252.0,Motor,Siemens,Z300,4517.0,7069
Planta Norte,0,838.1428571428571,58.56,1.9,66632.0,Motor,Siemens,Z300,4517.0,7069
Planta Norte,1,797.6,123.66,2.97,82619.0,Compresor,Schneider,Z300,768.0,7515
Planta Sur,1,1198.0,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Sur,0,1058.142857142857,110.06,3.34,24251.0,Motor,ABB,X100,4447.0,2041
Planta Sur,0,1827.0,149.62,1.25,91853.0,Generador,ABB,M400,825.0,7850
Planta Sur,0,1827.0,138.03,2.17,56681.0,Generador,ABB,M400,825.0,7850
Planta Sur,0,1827.0,64.73,3.81,19395.0,Generador,ABB,M400,825.0,7850
Planta Sur,0,1827.0,70.46,3.86,25958.0,Generador,ABB,M400,825.0,7850
Planta Sur,0,1044.8333333333333,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,0,1044.8333333333333,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Norte,1,1367.8,92.88,2.26,99542.0,Generador,GE,Y200,347.0,8833
Planta Norte,1,1367.8,50.56,3.33,27837.0,Generador,GE,Y200,347.0,8833
Planta Sur,1,1132.5714285714287,136.39,3.17,6283.0,Transformador,Schneider,Z300,544.0,3331
Planta Sur,1,1132.5714285714287,134.62,3.3,76455.0,Transformador,Schneider,Z300,544.0,3331
Planta Norte,0,639.9090909090909,85.41,2.33,63194.0,Compresor,ABB,Z300,4546.0,2061
