Ubicacion,Fallo,Promedio_Horas_Entre_Fallos_por_mes,Promedio_Temperatura_C,Promedio_Vibracion_mm_s,Promedio_Horas_Operativas,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
Planta Sur,1,11.0,86.21,3.5100000000000002,15.023796296296295,Generador,Schneider,X100,4928.0,2.5077777777777777
Planta Sur,1,364.0,129.66,0.54,23.096944444444443,Transformador,Siemens,Y200,75.0,2.0527777777777776
Planta Oeste,1,35.0,99.595,1.62,14.798194444444444,Motor,Siemens,M400,4693.0,1.7652777777777777
Planta Este,1,195.0,111.96000000000001,3.065,5.386388888888889,Generador,GE,Y200,2647.0,2.1969444444444446
Planta Oeste,1,171.0,85.04,2.04,21.76388888888889,Compresor,Schneider,Z300,3000.0,0.5516666666666666
Planta Este,1,183.0,132.62,1.93,7.9222222222222225,Compresor,GE,X100,605.0,0.9730555555555556
Planta Oeste,1,391.0,91.25,2.9766666666666666,5.712685185185186,Generador,ABB,M400,2102.0,0.46694444444444444
Planta Oeste,1,290.0,91.03666666666668,1.7566666666666666,13.688981481481482,Motor,Schneider,M400,4523.0,1.0102777777777778
Planta Este,1,322.0,103.235,2.12,4.684861111111111,Compresor,Schneider,Y200,3111.0,1.2752777777777777
Planta Este,1,491.0,94.25999999999999,1.48,18.836111111111112,Transformador,Siemens,M400,3807.0,0.8827777777777778
Planta Oeste,1,233.0,116.22,3.85,8.506666666666666,Motor,GE,Y200,1584.0,1.3116666666666668
Planta Sur,1,407.0,97.09,3.25,8.817777777777778,Generador,Schneider,Y200,529.0,1.9797222222222222
Planta Sur,1,365.0,124.28,3.7150000000000003,25.104444444444443,Compresor,GE,Z300,2678.0,2.743333333333333
Planta Norte,1,189.0,76.45,3.9450000000000003,19.62125,Transformador,GE,M400,2077.0,0.15194444444444444
Planta Sur,1,306.0,123.29,0.33,20.196666666666665,Compresor,ABB,Y200,4783.0,1.4258333333333333
Planta Sur,1,480.0,85.43,0.47,9.676666666666666,Compresor,ABB,Z300,3352.0,2.124722222222222
Planta Oeste,1,395.0,93.99,1.545,20.17486111111111,Generador,Schneider,Y200,633.0,2.278611111111111
Planta Este,1,118.0,87.955,2.725,12.584027777777777,Motor,Schneider,Z300,3933.0,2.1597222222222223
Planta Norte,1,450.0,146.62,2.42,4.293055555555555,Generador,Siemens,M400,3436.0,1.9552777777777777
Planta Norte,1,77.0,82.43,2.83,23.54111111111111,Motor,ABB,M400,954.0,1.5727777777777778
Planta Oeste,1,322.0,75.95,1.78,14.714166666666667,Transformador,GE,Y200,3710.0,1.8433333333333333
Planta Norte,1,250.0,92.565,2.3975,7.666944444444445,Motor,Siemens,Y200,377.0,1.6605555555555556
Planta Oeste,1,168.0,102.63499999999999,2.49,14.110486111111111,Motor,Schneider,Y200,2570.0,1.7022222222222223
Planta Este,1,1.0,115.06,2.23,6.080416666666666,Compresor,Schneider,Y200,4806.0,1.0977777777777777
Planta Este,1,1.0,115.06,2.23,6.080416666666666,Compresor,Schneider,Y200,4806.0,1.0977777777777777
Planta Sur,1,485.0,53.31,2.52,17.294166666666666,Compresor,Schneider,X100,3572.0,1.7475
Planta Sur,1,363.0,75.39999999999999,3.355,15.625555555555556,Compresor,Siemens,M400,4748.0,1.291388888888889
Planta Este,1,5.0,119.6,3.7249999999999996,8.945555555555556,Compresor,ABB,Z300,1714.0,1.0197222222222222
Planta Oeste,1,5.0,119.6,3.7249999999999996,8.945555555555556,Compresor,ABB,Z300,1714.0,1.0197222222222222
Planta Sur,1,200.0,76.625,2.5250000000000004,21.465972222222224,Generador,Siemens,M400,2532.0,2.2075
Planta Sur,1,33.0,57.43,1.1,6.344722222222222,Compresor,Siemens,M400,314.0,1.8719444444444444
Planta Norte,1,344.0,62.94,3.93,20.879722222222224,Transformador,Siemens,Z300,1396.0,2.3777777777777778
Planta Norte,1,69.0,103.01333333333334,3.8466666666666662,15.47925925925926,Motor,ABB,Y200,4463.0,2.4591666666666665
Planta Oeste,1,16.0,119.6,3.7249999999999996,8.945555555555556,Compresor,ABB,Z300,1714.0,1.0197222222222222
Planta Oeste,1,410.0,63.59,4.52,14.598888888888888,Motor,Schneider,Z300,1180.0,1.1483333333333334
Planta Norte,1,119.0,68.86,1.15,26.198055555555555,Compresor,ABB,Y200,-100.0,1.01
Planta Norte,1,16.0,119.6,3.7249999999999996,8.945555555555556,Compresor,ABB,Z300,1714.0,1.0197222222222222
Planta Este,1,526.0,88.64,2.09,24.1025,Generador,Siemens,Z300,3332.0,1.7702777777777778
Planta Sur,1,267.0,104.87,2.21,9.955277777777777,Generador,Schneider,M400,2372.0,1.396388888888889
Planta Norte,1,199.0,76.04,0.98,2.0194444444444444,Motor,ABB,Z300,227.0,2.0205555555555557
Planta Norte,1,154.0,93.99,1.545,20.17486111111111,Generador,Schneider,Y200,633.0,2.278611111111111
Planta Sur,1,609.0,57.58,3.65,0.06944444444444445,Generador,GE,Y200,3432.0,2.281388888888889
Planta Norte,1,251.0,139.63,2.41,17.975277777777777,Motor,ABB,X100,4940.0,0.6841666666666667
Planta Sur,1,595.0,110.03333333333335,3.3466666666666662,13.598518518518517,Transformador,Siemens,M400,899.0,0.9319444444444445
Planta Este,1,101.0,124.875,1.46,9.561388888888889,Motor,GE,Z300,4579.0,2.2602777777777776
Planta Este,1,541.0,135.505,3.235,11.491388888888888,Transformador,Schneider,Z300,544.0,0.9252777777777778
Planta Oeste,1,435.0,63.92,3.4,20.9125,Transformador,Schneider,Y200,4004.0,0.31083333333333335
Planta Este,1,200.0,52.26,0.67,21.323333333333334,Motor,ABB,M400,954.0,1.5727777777777778
Planta Este,1,754.0,76.91,3.95,14.485555555555555,Transformador,ABB,Y200,2166.0,2.640277777777778
Planta Sur,1,153.0,132.26,1.8,23.9075,Generador,ABB,Y200,1702.0,2.3425
Planta Oeste,1,306.0,117.995,1.725,2.433333333333333,Motor,ABB,M400,1407.0,1.7652777777777777
Planta Oeste,1,60.0,61.77,4.4,17.805555555555557,Motor,ABB,Y200,3925.0,1.42
Planta Este,1,83.0,107.37,4.4399999999999995,13.614444444444445,Motor,ABB,Z300,227.0,2.0205555555555557
Planta Oeste,1,614.0,55.35,0.52,22.99972222222222,Transformador,GE,Y200,100.0,2.1347222222222224
Planta Norte,1,143.0,86.37,2.305,16.96263888888889,Compresor,Siemens,M400,314.0,1.8719444444444444
Planta Este,1,163.0,111.5,0.71,4.683611111111111,Transformador,ABB,Y200,3088.0,1.9013888888888888
Planta Sur,1,44.0,132.26,1.8,23.9075,Generador,ABB,Y200,1702.0,2.3425
Planta Este,1,50.0,110.11,4.13,23.386388888888888,Transformador,Schneider,X100,326.0,2.055
Planta Oeste,1,295.0,149.71,4.85,15.628055555555555,Generador,Schneider,Z300,2723.0,1.4266666666666667
Planta Sur,1,275.0,67.37,2.765,2.131666666666667,Motor,Schneider,Z300,3933.0,2.1597222222222223
Planta Norte,1,4.0,149.71,4.85,15.628055555555555,Generador,Schneider,Z300,2723.0,1.4266666666666667
Planta Este,1,29.0,86.37,2.305,16.96263888888889,Compresor,Siemens,M400,314.0,1.8719444444444444
Planta Sur,1,631.0,85.02,3.01,10.030277777777778,Compresor,ABB,M400,2074.0,1.8644444444444443
Planta Este,1,818.0,94.525,4.109999999999999,11.199583333333333,Transformador,Siemens,Z300,1106.0,0.40555555555555556
Planta Oeste,1,781.0,79.8675,2.33,20.076527777777777,Generador,Schneider,X100,2565.0,2.6038888888888887
Planta Oeste,1,834.0,69.1,1.87,16.825277777777778,Compresor,GE,X100,3513.0,2.470833333333333
Planta Este,1,202.0,108.33500000000001,3.33,19.475694444444443,Transformador,Siemens,Z300,1396.0,2.3777777777777778
Planta Norte,1,414.0,102.17,0.83,14.906944444444445,Generador,Siemens,X100,3877.0,2.091388888888889
Planta Oeste,1,168.0,122.055,4.01,7.631805555555555,Generador,Schneider,Y200,633.0,2.278611111111111
Planta Este,1,95.0,61.77,4.4,17.805555555555557,Motor,ABB,Y200,3925.0,1.42
Planta Oeste,1,530.0,149.28,3.89,26.859444444444446,Transformador,ABB,Y200,3674.0,2.3133333333333335
Planta Oeste,1,416.0,72.48,2.6900000000000004,23.107916666666668,Generador,ABB,Y200,4432.0,2.218611111111111
Planta Sur,1,127.0,98.995,1.33,17.23736111111111,Transformador,Schneider,Y200,2662.0,0.2791666666666667
Planta Sur,1,248.0,86.85,1.62,4.51,Generador,Schneider,Z300,2294.0,1.4297222222222221
Planta Sur,1,67.0,132.26,1.8,23.9075,Generador,ABB,Y200,1702.0,2.3425
Planta Norte,1,154.5,60.51,1.98,4.8661111111111115,Compresor,GE,X100,11976.5,2.0388888888888888
Planta Sur,1,408.0,81.89,2.493333333333333,18.784444444444443,Compresor,Schneider,Z300,3000.0,0.5516666666666666
Planta Oeste,1,154.5,60.51,1.98,4.8661111111111115,Compresor,GE,X100,11976.5,2.0388888888888888
Planta Sur,1,213.0,134.08,2.62,23.966666666666665,Motor,ABB,X100,2331.0,2.766111111111111
Planta Sur,1,142.0,82.87,4.6,14.643611111111111,Generador,ABB,M400,825.0,2.1805555555555554
Planta Oeste,1,112.0,66.41,1.35,17.108055555555556,Transformador,ABB,Z300,2727.0,1.9427777777777777
Planta Norte,1,871.0,71.8,1.76,22.224166666666665,Generador,Siemens,Y200,464.0,2.5755555555555554
Planta Sur,1,185.0,133.685,2.5324999999999998,13.071875,Motor,Schneider,Y200,4409.0,0.45361111111111113
Planta Norte,1,417.0,100.61500000000001,3.08,12.533333333333333,Compresor,Siemens,Z300,3893.0,1.1752777777777779
Planta Este,1,381.0,81.49,1.86,18.790555555555557,Transformador,ABB,X100,1117.0,2.7744444444444443
Planta Sur,1,179.0,117.995,1.725,2.433333333333333,Motor,ABB,M400,1407.0,1.7652777777777777
Planta Norte,1,189.0,76.91,3.95,14.485555555555555,Transformador,ABB,Y200,2166.0,2.640277777777778
Planta Este,1,856.0,145.0,4.63,20.46388888888889,Compresor,Schneider,X100,1192.0,1.7497222222222222
Planta Este,1,365.0,75.595,2.115,18.261111111111113,Generador,ABB,X100,4856.0,1.2019444444444445
Planta Este,1,545.0,95.81,4.04,23.571805555555557,Transformador,ABB,Z300,-100.0,2.7047222222222222
Planta Norte,1,531.0,70.72,0.74,5.349722222222222,Motor,Siemens,Z300,1883.0,2.5011111111111113
Planta Oeste,1,461.0,99.64666666666666,2.1733333333333333,24.111666666666668,Motor,GE,Y200,1584.0,1.3116666666666668
Planta Sur,1,846.0,80.82499999999999,1.17,14.136666666666667,Transformador,GE,Z300,2713.0,0.8727777777777778
Planta Oeste,1,335.0,97.88,1.5033333333333332,15.93,Generador,Siemens,M400,2532.0,2.2075
Planta Sur,1,786.0,98.32,1.69,25.70777777777778,Compresor,Schneider,Z300,768.0,2.0875
Planta Este,1,228.0,103.66666666666667,2.68,12.292314814814816,Compresor,Schneider,Y200,1568.0,1.8905555555555555
Planta Oeste,0,531.0,70.72,0.74,5.349722222222222,Motor,Siemens,Z300,1883.0,2.5011111111111113
Planta Este,1,302.0,86.83500000000001,2.14,9.761388888888888,Generador,Siemens,Z300,3332.0,1.7702777777777778
Planta Este,1,215.0,136.985,4.115,7.7659722222222225,Generador,Schneider,Y200,2363.0,1.6336111111111111
Planta Este,1,498.0,68.34,1.88,8.510555555555555,Generador,ABB,M400,2102.0,0.46694444444444444
Planta Sur,1,87.0,66.41,1.35,17.108055555555556,Transformador,ABB,Z300,2727.0,1.9427777777777777
Planta Norte,1,327.0,66.54,2.795,13.75,Transformador,Schneider,Y200,3050.0,2.209722222222222
Planta Este,1,696.0,98.815,3.735,9.713194444444444,Motor,Siemens,Z300,4932.0,2.3002777777777776
Planta Este,1,453.5,116.33500000000001,2.2800000000000002,23.143194444444443,Transformador,ABB,Y200,3158.0,0.8611111111111112
Planta Sur,1,453.5,116.33500000000001,2.2800000000000002,23.143194444444443,Transformador,ABB,Y200,3158.0,0.8611111111111112
Planta Oeste,1,189.0,108.155,2.465,15.810902777777779,Motor,GE,Z300,131.0,2.206111111111111
Planta Oeste,1,506.0,86.46999999999998,1.1566666666666667,10.657222222222222,Transformador,Siemens,M400,3807.0,0.8827777777777778
Planta Oeste,1,303.0,117.68,1.7650000000000001,4.355555555555555,Transformador,Siemens,M400,899.0,0.9319444444444445
Planta Oeste,1,434.0,80.24,4.09,13.856944444444444,Motor,Schneider,Y200,2570.0,1.7022222222222223
Planta Este,1,965.0,121.44999999999999,1.77,7.493888888888889,Motor,Schneider,M400,517.0,0.7783333333333333
Planta Este,1,92.0,133.685,2.5324999999999998,13.071875,Motor,Schneider,Y200,4409.0,0.45361111111111113
Planta Oeste,1,68.0,75.595,2.115,18.261111111111113,Generador,ABB,X100,4856.0,1.2019444444444445
Planta Sur,1,575.0,77.345,2.51,24.132361111111113,Motor,Siemens,M400,4693.0,1.7652777777777777
Planta Este,1,929.0,68.48,1.85,3.1191666666666666,Transformador,ABB,X100,2617.0,2.2752777777777777
Planta Oeste,1,655.0,76.73,0.81,11.133333333333333,Generador,Schneider,Y200,4786.0,1.05
Planta Oeste,1,522.0,125.17,2.1550000000000002,7.930833333333333,Generador,Siemens,Y200,1825.0,1.523611111111111
Planta Norte,1,85.0,72.535,0.425,2.0880555555555556,Compresor,Siemens,X100,3778.0,1.9733333333333334
Planta Sur,1,669.0,73.615,2.315,12.633680555555555,Compresor,GE,Z300,621.0,0.9802777777777778
Planta Oeste,1,652.0,88.88,3.99,15.272777777777778,Generador,ABB,M400,3458.0,2.2847222222222223
Planta Sur,1,771.0,82.825,3.4400000000000004,4.553194444444444,Transformador,ABB,Z300,2109.0,2.472777777777778
Planta Oeste,1,208.0,98.995,1.33,17.23736111111111,Transformador,Schneider,Y200,2662.0,0.2791666666666667
Planta Oeste,1,905.0,113.29,0.17,7.881388888888889,Motor,ABB,Y200,742.0,1.3488888888888888
Planta Sur,1,516.0,88.57,3.16,5.3684722222222225,Transformador,GE,Y200,3710.0,1.8433333333333333
Planta Norte,1,145.0,117.995,1.725,2.433333333333333,Motor,ABB,M400,1407.0,1.7652777777777777
Planta Norte,1,941.0,95.89,3.21,20.010833333333334,Transformador,Siemens,M400,791.0,0.5586111111111111
Planta Oeste,1,223.0,132.26,1.8,23.9075,Generador,ABB,Y200,1702.0,2.3425
Planta Sur,1,773.0,105.35,2.52,7.794444444444444,Motor,Schneider,Y200,3607.0,1.6902777777777778
Planta Sur,1,636.0,105.97,2.8049999999999997,14.674305555555556,Transformador,Siemens,X100,2838.0,1.613611111111111
Planta Norte,1,1054.0,78.3,3.7649999999999997,7.601944444444444,Transformador,GE,M400,1095.0,0.35944444444444446
Planta Norte,1,16.0,132.89000000000001,2.5866666666666664,10.33,Transformador,ABB,M400,11976.5,0.40944444444444444
Planta Norte,1,286.0,115.78,0.78,13.019444444444444,Compresor,Schneider,Z300,506.0,2.654166666666667
Planta Norte,1,465.0,77.72333333333333,4.346666666666667,10.305833333333334,Motor,GE,Y200,4749.0,1.7425
Planta Este,1,884.0,75.4,3.12,6.470555555555555,Compresor,GE,Y200,1652.0,2.4555555555555557
Planta Norte,1,280.0,100.6425,1.55,15.649652777777778,Generador,ABB,Y200,1884.0,1.9177777777777778
Planta Oeste,1,319.0,83.08,2.16,10.785833333333333,Motor,Schneider,M400,11976.5,2.688888888888889
Planta Este,1,470.0,97.63,3.88,26.323055555555555,Transformador,Siemens,M400,1700.0,0.16305555555555556
Planta Este,1,255.0,60.51,1.98,4.8661111111111115,Compresor,GE,X100,11976.5,2.0388888888888888
Planta Sur,1,21.0,96.32,2.28,13.930277777777778,Transformador,Schneider,X100,994.0,2.6261111111111113
Planta Norte,1,763.0,62.29,2.455,11.807222222222222,Motor,Siemens,M400,3820.0,0.5780555555555555
Planta Oeste,1,97.0,72.535,0.425,2.0880555555555556,Compresor,Siemens,X100,3778.0,1.9733333333333334
Planta Oeste,1,165.0,66.41,1.35,17.108055555555556,Transformador,ABB,Z300,2727.0,1.9427777777777777
Planta Oeste,1,1046.0,136.55,0.49,13.32125,Compresor,ABB,X100,1909.0,0.8452777777777778
Planta Norte,1,691.0,95.90333333333335,2.15,11.583055555555555,Generador,ABB,Z300,2986.0,2.0541666666666667
Planta Oeste,1,1048.0,102.185,1.54,14.415833333333333,Compresor,Siemens,Y200,2683.0,0.6069444444444444
Planta Oeste,1,173.0,68.34,1.88,8.510555555555555,Generador,ABB,M400,2102.0,0.46694444444444444
Planta Sur,1,164.0,116.33500000000001,2.2800000000000002,23.143194444444443,Transformador,ABB,Y200,3158.0,0.8611111111111112
Planta Norte,1,184.0,103.66666666666667,2.68,12.292314814814816,Compresor,Schneider,Y200,1568.0,1.8905555555555555
Planta Norte,1,280.0,59.89,1.59,5.252222222222223,Generador,Siemens,X100,4387.0,0.18472222222222223
Planta Norte,1,1154.0,99.07666666666667,3.11,11.961666666666666,Motor,GE,X100,1599.0,2.328611111111111
Planta Oeste,1,964.0,127.97,3.85,4.739444444444445,Compresor,GE,X100,3119.0,0.30527777777777776
Planta Este,1,327.0,79.8675,2.33,20.076527777777777,Generador,Schneider,X100,2565.0,2.6038888888888887
Planta Oeste,1,1072.0,93.41000000000001,1.8966666666666665,22.38009259259259,Generador,Schneider,X100,269.0,2.1241666666666665
Planta Oeste,1,310.0,72.48,2.6900000000000004,23.107916666666668,Generador,ABB,Y200,4432.0,2.218611111111111
Planta Oeste,1,113.0,88.88,3.99,15.272777777777778,Generador,ABB,M400,3458.0,2.2847222222222223
Planta Norte,1,679.0,81.416,3.104,18.159833333333335,Compresor,Schneider,Y200,3111.0,1.2752777777777777
Planta Oeste,1,650.0,138.34,2.69,4.594166666666666,Generador,GE,Y200,3960.0,2.6358333333333333
Planta Este,1,1023.0,60.3,1.1,6.9880555555555555,Generador,ABB,M400,1536.0,0.5552777777777778
Planta Este,1,38.0,66.41,1.35,17.108055555555556,Transformador,ABB,Z300,2727.0,1.9427777777777777
Planta Oeste,1,833.0,57.88,2.48,2.042777777777778,Motor,GE,X100,2068.0,0.5066666666666667
Planta Norte,1,939.0,73.75,2.93,15.394351851851852,Transformador,Siemens,M400,3839.0,0.49194444444444446
Planta Sur,1,141.0,147.96,0.68,25.176944444444445,Motor,GE,Z300,2945.0,1.0105555555555557
Planta Sur,1,111.0,100.055,2.265,15.33375,Transformador,Schneider,Y200,2232.0,0.6713888888888889
Planta Este,1,302.0,126.5,0.41,4.418055555555555,Motor,Schneider,X100,2315.0,0.8805555555555555
Planta Oeste,1,1105.0,70.39,3.98,5.486666666666666,Compresor,GE,M400,294.0,0.6211111111111111
Planta Este,1,1201.0,103.26666666666667,1.2633333333333334,14.294074074074073,Transformador,Siemens,X100,244.0,1.7658333333333334
Planta Norte,1,1221.0,66.85000000000001,4.14,18.075972222222223,Transformador,GE,M400,253.0,2.1566666666666667
Planta Este,1,696.0,57.36,2.17,20.156388888888888,Compresor,Schneider,X100,4925.0,2.043888888888889
Planta Sur,1,1198.0,132.92,0.39,3.0275,Motor,Siemens,X100,946.0,1.7019444444444445
Planta Este,1,983.0,107.41333333333334,2.3466666666666667,16.8725,Transformador,Schneider,M400,3570.0,1.2016666666666667
Planta Oeste,1,994.0,86.67,0.28,7.506111111111111,Generador,ABB,M400,2780.0,1.2597222222222222
Planta Sur,1,646.0,102.57,2.675,23.109444444444446,Transformador,GE,X100,592.0,1.2741666666666667
Planta Oeste,1,788.0,93.44666666666667,2.3866666666666667,12.611851851851851,Generador,ABB,Y200,731.0,0.9694444444444444
Planta Este,1,124.0,148.43,3.01,2.339166666666667,Generador,GE,Z300,1650.0,1.495
Planta Sur,1,166.0,106.84,2.74,23.953611111111112,Generador,GE,X100,248.0,0.24027777777777778
Planta Norte,1,277.0,136.985,4.115,7.7659722222222225,Generador,Schneider,Y200,2363.0,1.6336111111111111
Planta Norte,1,492.0,109.04666666666667,2.58,6.212407407407408,Compresor,ABB,X100,4944.0,2.330277777777778
Planta Norte,1,1080.0,88.28,3.09,25.2375,Compresor,GE,M400,4929.0,1.6502777777777777
Planta Este,1,457.0,110.11,4.13,23.386388888888888,Transformador,Schneider,X100,326.0,2.055
Planta Este,1,738.0,112.09,2.3850000000000002,25.32625,Generador,Schneider,M400,4432.0,0.7952777777777778
Planta Este,1,121.0,147.04,0.29,24.686944444444446,Generador,Schneider,Z300,4192.0,2.5841666666666665
Planta Este,1,274.0,133.685,2.5324999999999998,13.071875,Motor,Schneider,Y200,4409.0,0.45361111111111113
Planta Oeste,1,109.0,138.34,2.69,4.594166666666666,Generador,GE,Y200,3960.0,2.6358333333333333
Planta Norte,1,32.0,109.04666666666667,2.58,6.212407407407408,Compresor,ABB,X100,4944.0,2.330277777777778
Planta Oeste,1,137.0,116.33500000000001,2.2800000000000002,23.143194444444443,Transformador,ABB,Y200,3158.0,0.8611111111111112
Planta Sur,1,113.0,60.3,1.1,6.9880555555555555,Generador,ABB,M400,1536.0,0.5552777777777778
Planta Este,1,450.0,102.17,0.83,14.906944444444445,Generador,Siemens,X100,3877.0,2.091388888888889
Planta Norte,1,568.0,110.82,2.695,6.705277777777778,Transformador,Schneider,Y200,4004.0,0.31083333333333335
Planta Sur,1,229.0,108.24333333333334,2.7466666666666666,14.349074074074073,Generador,Siemens,X100,953.0,1.0083333333333333
Planta Sur,1,247.0,98.995,1.33,17.23736111111111,Transformador,Schneider,Y200,2662.0,0.2791666666666667
Planta Oeste,1,465.0,100.4575,2.4425,11.485069444444445,Generador,Schneider,Y200,1018.0,2.19
Planta Oeste,1,77.0,106.84,2.74,23.953611111111112,Generador,GE,X100,248.0,0.24027777777777778
Planta Sur,1,281.0,94.32,2.23,20.323611111111113,Motor,Schneider,M400,4597.0,1.0163888888888888
Planta Sur,1,1083.0,50.81,1.69,4.066944444444444,Generador,GE,Z300,1885.0,1.5108333333333333
Planta Norte,1,389.0,95.81,4.04,23.571805555555557,Transformador,ABB,Z300,-100.0,2.7047222222222222
Planta Sur,1,1168.0,147.57,0.43,13.395277777777778,Motor,ABB,Y200,4152.0,0.8841666666666667
Planta Norte,1,318.0,68.48,1.85,3.1191666666666666,Transformador,ABB,X100,2617.0,2.2752777777777777
Planta Oeste,1,1169.0,92.9,0.4,24.754166666666666,Compresor,GE,M400,3918.0,0.5522222222222222
Planta Norte,1,1312.0,57.59,3.19,16.60861111111111,Motor,Schneider,Y200,2600.0,0.7861111111111111
Planta Oeste,1,257.0,85.41000000000001,2.1300000000000003,17.532685185185183,Generador,Schneider,Y200,2697.0,0.7202777777777778
Planta Oeste,1,1233.0,104.93,4.0,13.221944444444444,Generador,Siemens,X100,2395.0,2.4852777777777777
Planta Sur,0,1169.0,92.9,0.4,24.754166666666666,Compresor,GE,M400,3918.0,0.5522222222222222
Planta Oeste,1,70.0,60.3,1.1,6.9880555555555555,Generador,ABB,M400,1536.0,0.5552777777777778
Planta Oeste,1,540.0,129.085,4.005,15.259027777777778,Motor,Schneider,M400,2185.0,0.8027777777777778
Planta Este,1,21.0,68.48,1.85,3.1191666666666666,Transformador,ABB,X100,2617.0,2.2752777777777777
Planta Oeste,1,6.0,103.225,2.8649999999999998,13.338333333333333,Transformador,Siemens,X100,2864.0,1.836111111111111
Planta Sur,1,561.0,86.37,2.305,16.96263888888889,Compresor,Siemens,M400,314.0,1.8719444444444444
Planta Norte,1,155.0,57.36,2.17,20.156388888888888,Compresor,Schneider,X100,4925.0,2.043888888888889
Planta Sur,1,6.0,103.225,2.8649999999999998,13.338333333333333,Transformador,Siemens,X100,2864.0,1.836111111111111
Planta Sur,1,1313.0,63.394999999999996,1.825,3.9829166666666667,Motor,Siemens,M400,4351.0,0.9858333333333333
Planta Este,1,492.0,82.87,4.6,14.643611111111111,Generador,ABB,M400,825.0,2.1805555555555554
Planta Norte,1,1122.0,90.2,2.85,7.129166666666666,Compresor,GE,M400,2471.0,1.9719444444444445
