Ubicacion,Fallo,Promedio_Horas_Entre_Fallos_por_mes,Día,Promedio_Temperatura_C,Promedio_Vibracion_mm_s,Promedio_Horas_Operativas,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
Planta Este,0,53.0,19,81.21,4.09,56219.0,Transformador,Schneider,X100,968.0,2098
Planta Este,1,188.0,6,113.87,2.01,68941.0,Motor,GE,Y200,4459.0,8434
Planta Este,1,188.0,15,105.8,2.07,31551.0,Motor,GE,Y200,4459.0,8434
Planta Este,1,129.0,6,113.87,2.01,68941.0,Motor,GE,Y200,4459.0,8434
Planta Este,1,129.0,15,105.8,2.07,31551.0,Motor,GE,Y200,4459.0,8434
Planta Sur,1,72.0,12,88.64,2.09,86769.0,Generador,Siemens,Z300,3332.0,6373
Planta Sur,1,526.0,12,88.64,2.09,86769.0,Generador,Siemens,Z300,3332.0,6373
Planta Sur,1,37.0,31,103.35,3.9,37071.0,Motor,ABB,Z300,1706.0,4455
Planta Oeste,1,324.0,8,113.38,4.05,98719.0,Compresor,Schneider,M400,4966.0,7411
Planta Sur,1,364.0,4,129.66,0.54,83149.0,Transformador,Siemens,Y200,75.0,7390
Planta Este,1,169.0,7,60.64,1.75,88092.0,Generador,GE,Z300,1885.0,5439
Planta Este,1,169.0,26,57.06,3.9,46363.0,Generador,GE,Z300,1885.0,5439
Planta Este,1,169.0,28,76.69,4.66,66482.0,Generador,GE,Z300,1885.0,5439
Planta Este,1,83.0,29,57.58,3.65,250.0,Generador,GE,Y200,3432.0,8213
Planta Este,1,609.0,29,57.58,3.65,250.0,Generador,GE,Y200,3432.0,8213
Planta Este,1,391.0,4,74.82,4.14,10659.0,Generador,ABB,M400,2102.0,1681
Planta Este,1,391.0,7,84.37,0.54,5251.0,Generador,ABB,M400,2102.0,1681
Planta Este,1,391.0,18,114.56,4.25,45787.0,Generador,ABB,M400,2102.0,1681
Planta Norte,1,5.0,11,71.28,2.31,57943.0,Generador,Schneider,X100,269.0,7647
Planta Norte,0,77.0,26,82.43,2.83,84748.0,Motor,ABB,M400,954.0,5662
Planta Sur,1,5.0,11,71.28,2.31,57943.0,Generador,Schneider,X100,269.0,7647
Planta Norte,1,450.0,4,146.62,2.42,15455.0,Generador,Siemens,M400,3436.0,7039
Planta Norte,1,407.0,1,97.09,3.25,31744.0,Generador,Schneider,Y200,529.0,7127
Planta Este,1,81.0,14,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Este,1,187.0,14,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Norte,1,595.0,9,81.18,3.48,28976.0,Transformador,Siemens,M400,899.0,3355
Planta Norte,1,595.0,30,99.59,2.23,54506.0,Transformador,Siemens,M400,899.0,3355
Planta Norte,1,595.0,31,149.33,4.33,63382.0,Transformador,Siemens,M400,899.0,3355
Planta Norte,0,324.0,8,113.38,4.05,98719.0,Compresor,Schneider,M400,4966.0,7411
Planta Este,1,168.0,2,111.99,1.65,90520.0,Motor,Schneider,M400,3935.0,6293
Planta Este,1,168.0,16,121.01,1.82,94273.0,Motor,Schneider,M400,3935.0,6293
Planta Oeste,0,76.0,4,85.04,2.04,78350.0,Compresor,Schneider,Z300,3000.0,1986
Planta Oeste,0,171.0,4,85.04,2.04,78350.0,Compresor,Schneider,Z300,3000.0,1986
Planta Oeste,1,141.0,15,124.89,4.38,78572.0,Motor,GE,X100,780.0,5264
Planta Oeste,1,207.0,24,79.15,4.12,52154.0,Transformador,ABB,Y200,3674.0,8328
Planta Oeste,0,410.0,9,63.59,4.52,52556.0,Motor,Schneider,Z300,1180.0,4134
Planta Norte,1,485.0,16,53.31,2.52,62259.0,Compresor,Schneider,X100,3572.0,6291
Planta Oeste,0,395.0,26,62.13,2.21,58389.0,Generador,Schneider,Y200,633.0,8203
Planta Oeste,0,395.0,29,125.85,0.88,86870.0,Generador,Schneider,Y200,633.0,8203
Planta Oeste,0,154.0,26,62.13,2.21,58389.0,Generador,Schneider,Y200,633.0,8203
Planta Oeste,0,154.0,29,125.85,0.88,86870.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,0,183.0,2,132.62,1.93,28520.0,Compresor,GE,X100,605.0,3503
Planta Este,1,90.0,2,121.04,0.16,89849.0,Compresor,Schneider,Z300,215.0,3803
Planta Este,0,141.0,15,124.89,4.38,78572.0,Motor,GE,X100,780.0,5264
Planta Norte,1,395.0,26,62.13,2.21,58389.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,1,395.0,29,125.85,0.88,86870.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,1,154.0,26,62.13,2.21,58389.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,1,154.0,29,125.85,0.88,86870.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,1,238.0,23,127.48,0.84,61519.0,Transformador,Siemens,Y200,4850.0,1762
Planta Norte,1,238.0,24,137.1,4.15,35274.0,Transformador,Siemens,Y200,4850.0,1762
Planta Este,1,72.0,12,88.64,2.09,86769.0,Generador,Siemens,Z300,3332.0,6373
Planta Este,1,526.0,12,88.64,2.09,86769.0,Generador,Siemens,Z300,3332.0,6373
Planta Sur,1,365.0,1,122.81,2.45,82301.0,Compresor,GE,Z300,2678.0,9876
Planta Sur,1,365.0,7,125.75,4.98,98451.0,Compresor,GE,Z300,2678.0,9876
Planta Este,1,40.0,3,146.78,3.79,48141.0,Motor,ABB,Z300,3028.0,8369
Planta Este,1,40.0,4,101.97,1.6,21763.0,Motor,ABB,Z300,3028.0,8369
Planta Oeste,0,223.0,12,118.31,1.29,29831.0,Motor,Siemens,Z300,4733.0,3301
Planta Oeste,0,223.0,30,96.23,1.78,90164.0,Motor,Siemens,Z300,4733.0,3301
Planta Este,1,53.0,19,81.21,4.09,56219.0,Transformador,Schneider,X100,968.0,2098
Planta Este,1,322.0,4,95.57,4.01,11388.0,Compresor,Schneider,Y200,3111.0,4591
Planta Este,1,322.0,12,110.9,0.23,22343.0,Compresor,Schneider,Y200,3111.0,4591
Planta Sur,1,81.0,14,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Sur,1,187.0,14,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Sur,0,45.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,0,45.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,0,49.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,0,49.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,1,541.0,24,136.39,3.17,6283.0,Transformador,Schneider,Z300,544.0,3331
Planta Sur,1,541.0,25,134.62,3.3,76455.0,Transformador,Schneider,Z300,544.0,3331
Planta Este,1,166.0,3,57.08,3.21,36290.0,Compresor,ABB,M400,2074.0,6712
Planta Este,1,166.0,14,103.83000000000001,3.12,41681.0,Compresor,ABB,M400,2074.0,6712
Planta Este,1,166.0,20,108.38,4.92,43208.0,Compresor,ABB,M400,2074.0,6712
Planta Oeste,1,40.0,3,146.78,3.79,48141.0,Motor,ABB,Z300,3028.0,8369
Planta Oeste,1,40.0,4,101.97,1.6,21763.0,Motor,ABB,Z300,3028.0,8369
Planta Oeste,0,1.0,4,144.77,1.25,24432.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,0,1.0,6,140.12,0.52,61018.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,0,1.0,21,55.76,0.49,10810.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,0,69.0,4,144.77,1.25,24432.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,0,69.0,6,140.12,0.52,61018.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,0,69.0,21,55.76,0.49,10810.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,290.0,6,75.92,1.79,10616.0,Motor,Schneider,M400,4523.0,3637
Planta Norte,1,290.0,18,64.33,1.12,59013.0,Motor,Schneider,M400,4523.0,3637
Planta Norte,1,290.0,29,132.86,2.36,78212.0,Motor,Schneider,M400,4523.0,3637
Planta Norte,0,123.0,2,64.44,4.78,85849.0,Motor,Siemens,Y200,3461.0,7529
Planta Norte,0,123.0,5,73.94,0.18,21595.0,Motor,Siemens,Y200,3461.0,7529
Planta Sur,0,435.0,16,63.92,3.4,75285.0,Transformador,Schneider,Y200,4004.0,1119
Planta Sur,0,53.0,19,81.21,4.09,56219.0,Transformador,Schneider,X100,968.0,2098
Planta Norte,1,76.0,4,85.04,2.04,78350.0,Compresor,Schneider,Z300,3000.0,1986
Planta Norte,1,171.0,4,85.04,2.04,78350.0,Compresor,Schneider,Z300,3000.0,1986
Planta Este,1,306.0,30,123.29,0.33,72708.0,Compresor,ABB,Y200,4783.0,5133
Planta Oeste,1,53.0,19,81.21,4.09,56219.0,Transformador,Schneider,X100,968.0,2098
Planta Norte,1,1.0,4,144.77,1.25,24432.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,1.0,6,140.12,0.52,61018.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,1.0,21,55.76,0.49,10810.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,69.0,4,144.77,1.25,24432.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,69.0,6,140.12,0.52,61018.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,69.0,21,55.76,0.49,10810.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,1,1.0,4,144.77,1.25,24432.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,1,1.0,6,140.12,0.52,61018.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,1,1.0,21,55.76,0.49,10810.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,1,69.0,4,144.77,1.25,24432.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,1,69.0,6,140.12,0.52,61018.0,Generador,ABB,X100,3786.0,9495
Planta Oeste,1,69.0,21,55.76,0.49,10810.0,Generador,ABB,X100,3786.0,9495
Planta Sur,1,322.0,30,75.95,1.78,52971.0,Transformador,GE,Y200,3710.0,6636
Planta Norte,1,81.0,4,71.22,1.09,52346.0,Motor,GE,Y200,1380.0,4385
Planta Oeste,1,410.0,9,63.59,4.52,52556.0,Motor,Schneider,Z300,1180.0,4134
Planta Sur,0,290.0,6,75.92,1.79,10616.0,Motor,Schneider,M400,4523.0,3637
Planta Sur,0,290.0,18,64.33,1.12,59013.0,Motor,Schneider,M400,4523.0,3637
Planta Sur,0,290.0,29,132.86,2.36,78212.0,Motor,Schneider,M400,4523.0,3637
Planta Norte,1,169.0,7,60.64,1.75,88092.0,Generador,GE,Z300,1885.0,5439
Planta Norte,1,169.0,26,57.06,3.9,46363.0,Generador,GE,Z300,1885.0,5439
Planta Norte,1,169.0,28,76.69,4.66,66482.0,Generador,GE,Z300,1885.0,5439
Planta Este,1,363.0,8,75.39999999999999,3.355,56252.0,Compresor,Siemens,M400,4748.0,4649
Planta Sur,1,188.0,6,113.87,2.01,68941.0,Motor,GE,Y200,4459.0,8434
Planta Sur,1,188.0,15,105.8,2.07,31551.0,Motor,GE,Y200,4459.0,8434
Planta Sur,1,129.0,6,113.87,2.01,68941.0,Motor,GE,Y200,4459.0,8434
Planta Sur,1,129.0,15,105.8,2.07,31551.0,Motor,GE,Y200,4459.0,8434
Planta Este,1,141.0,15,124.89,4.38,78572.0,Motor,GE,X100,780.0,5264
Planta Norte,1,136.0,8,76.41,4.08,70259.0,Generador,ABB,Y200,2067.0,9164
Planta Norte,1,136.0,9,65.33,0.64,61832.0,Generador,ABB,Y200,2067.0,9164
Planta Sur,1,195.0,12,140.93,1.92,24422.0,Generador,GE,Y200,2647.0,7909
Planta Sur,1,195.0,15,82.99,4.21,14360.0,Generador,GE,Y200,2647.0,7909
Planta Oeste,1,233.0,27,116.22,3.85,30624.0,Motor,GE,Y200,1584.0,4722
Planta Norte,1,28.0,23,62.94,3.93,75167.0,Transformador,Siemens,Z300,1396.0,8560
Planta Norte,1,344.0,23,62.94,3.93,75167.0,Transformador,Siemens,Z300,1396.0,8560
Planta Norte,1,168.0,2,111.99,1.65,90520.0,Motor,Schneider,M400,3935.0,6293
Planta Norte,1,168.0,16,121.01,1.82,94273.0,Motor,Schneider,M400,3935.0,6293
Planta Norte,1,123.0,2,64.44,4.78,85849.0,Motor,Siemens,Y200,3461.0,7529
Planta Norte,1,123.0,5,73.94,0.18,21595.0,Motor,Siemens,Y200,3461.0,7529
Planta Sur,1,223.0,12,118.31,1.29,29831.0,Motor,Siemens,Z300,4733.0,3301
Planta Sur,1,223.0,30,96.23,1.78,90164.0,Motor,Siemens,Z300,4733.0,3301
Planta Sur,1,183.0,2,132.62,1.93,28520.0,Compresor,GE,X100,605.0,3503
Planta Este,1,76.0,4,85.04,2.04,78350.0,Compresor,Schneider,Z300,3000.0,1986
Planta Este,1,171.0,4,85.04,2.04,78350.0,Compresor,Schneider,Z300,3000.0,1986
Planta Oeste,0,169.0,7,60.64,1.75,88092.0,Generador,GE,Z300,1885.0,5439
Planta Oeste,0,169.0,26,57.06,3.9,46363.0,Generador,GE,Z300,1885.0,5439
Planta Oeste,0,169.0,28,76.69,4.66,66482.0,Generador,GE,Z300,1885.0,5439
Planta Norte,1,1.0,4,144.77,1.25,24432.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,1.0,6,140.12,0.52,61018.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,1.0,21,55.76,0.49,10810.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,69.0,4,144.77,1.25,24432.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,69.0,6,140.12,0.52,61018.0,Generador,ABB,X100,3786.0,9495
Planta Norte,1,69.0,21,55.76,0.49,10810.0,Generador,ABB,X100,3786.0,9495
Planta Norte,0,435.0,16,63.92,3.4,75285.0,Transformador,Schneider,Y200,4004.0,1119
Planta Sur,1,435.0,16,63.92,3.4,75285.0,Transformador,Schneider,Y200,4004.0,1119
Planta Oeste,1,28.0,23,62.94,3.93,75167.0,Transformador,Siemens,Z300,1396.0,8560
Planta Oeste,1,344.0,23,62.94,3.93,75167.0,Transformador,Siemens,Z300,1396.0,8560
Planta Sur,0,274.0,1,59.49,4.64,18341.0,Motor,Schneider,Y200,3607.0,6085
Planta Sur,0,274.0,13,115.37,3.29,80717.0,Motor,Schneider,Y200,3607.0,6085
Planta Sur,0,274.0,14,79.16,2.63,54865.0,Motor,Schneider,Y200,3607.0,6085
Planta Norte,1,250.0,3,98.95,4.34,63432.0,Motor,Siemens,Y200,377.0,5978
Planta Norte,1,250.0,13,89.98,0.74,32646.0,Motor,Siemens,Y200,377.0,5978
Planta Norte,1,250.0,17,108.01,3.45,4594.0,Motor,Siemens,Y200,377.0,5978
Planta Norte,1,250.0,28,73.32,1.06,9732.0,Motor,Siemens,Y200,377.0,5978
Planta Oeste,1,274.0,1,59.49,4.64,18341.0,Motor,Schneider,Y200,3607.0,6085
Planta Oeste,1,274.0,13,115.37,3.29,80717.0,Motor,Schneider,Y200,3607.0,6085
Planta Oeste,1,274.0,14,79.16,2.63,54865.0,Motor,Schneider,Y200,3607.0,6085
Planta Oeste,0,69.0,8,147.41,2.95,49185.0,Motor,ABB,Y200,4463.0,8853
Planta Oeste,0,69.0,9,68.73,4.16,20236.0,Motor,ABB,Y200,4463.0,8853
Planta Oeste,0,69.0,14,92.9,4.43,97755.0,Motor,ABB,Y200,4463.0,8853
Planta Norte,1,81.0,4,71.22,1.09,52346.0,Motor,GE,Y200,1380.0,4385
Planta Sur,1,207.0,24,79.15,4.12,52154.0,Transformador,ABB,Y200,3674.0,8328
Planta Sur,1,189.0,11,95.65,4.5,81395.0,Transformador,GE,M400,2077.0,547
Planta Sur,1,189.0,15,57.25,3.39,59878.0,Transformador,GE,M400,2077.0,547
Planta Norte,1,45.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Norte,1,45.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Norte,1,49.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Norte,1,49.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Oeste,0,200.0,14,75.3,2.89,81794.0,Generador,Siemens,M400,2532.0,7947
Planta Oeste,0,200.0,27,77.95,2.16,72761.0,Generador,Siemens,M400,2532.0,7947
Planta Sur,1,288.0,14,148.06,4.96,85231.0,Motor,GE,X100,2068.0,1824
Planta Este,0,274.0,1,59.49,4.64,18341.0,Motor,Schneider,Y200,3607.0,6085
Planta Este,0,274.0,13,115.37,3.29,80717.0,Motor,Schneider,Y200,3607.0,6085
Planta Este,0,274.0,14,79.16,2.63,54865.0,Motor,Schneider,Y200,3607.0,6085
Planta Oeste,1,81.0,14,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Oeste,1,187.0,14,105.99,0.25,6343.0,Motor,Siemens,X100,2505.0,1688
Planta Sur,0,288.0,14,148.06,4.96,85231.0,Motor,GE,X100,2068.0,1824
Planta Este,0,168.0,2,111.99,1.65,90520.0,Motor,Schneider,M400,3935.0,6293
Planta Este,0,168.0,16,121.01,1.82,94273.0,Motor,Schneider,M400,3935.0,6293
Planta Oeste,1,45.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Oeste,1,45.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Oeste,1,49.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Oeste,1,49.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,1,238.0,23,127.48,0.84,61519.0,Transformador,Siemens,Y200,4850.0,1762
Planta Sur,1,238.0,24,137.1,4.15,35274.0,Transformador,Siemens,Y200,4850.0,1762
Planta Este,1,188.0,6,113.87,2.01,68941.0,Motor,GE,Y200,4459.0,8434
Planta Este,1,188.0,15,105.8,2.07,31551.0,Motor,GE,Y200,4459.0,8434
Planta Este,1,129.0,6,113.87,2.01,68941.0,Motor,GE,Y200,4459.0,8434
Planta Este,1,129.0,15,105.8,2.07,31551.0,Motor,GE,Y200,4459.0,8434
Planta Este,0,195.0,12,140.93,1.92,24422.0,Generador,GE,Y200,2647.0,7909
Planta Este,0,195.0,15,82.99,4.21,14360.0,Generador,GE,Y200,2647.0,7909
Planta Oeste,1,136.0,8,76.41,4.08,70259.0,Generador,ABB,Y200,2067.0,9164
Planta Oeste,1,136.0,9,65.33,0.64,61832.0,Generador,ABB,Y200,2067.0,9164
Planta Oeste,1,324.0,8,113.38,4.05,98719.0,Compresor,Schneider,M400,4966.0,7411
Planta Oeste,1,123.0,2,64.44,4.78,85849.0,Motor,Siemens,Y200,3461.0,7529
Planta Oeste,1,123.0,5,73.94,0.18,21595.0,Motor,Siemens,Y200,3461.0,7529
Planta Sur,1,168.0,10,106.51,4.25,16538.0,Motor,Schneider,Y200,2570.0,6128
Planta Sur,1,168.0,11,109.24,2.67,82341.0,Motor,Schneider,Y200,2570.0,6128
Planta Sur,1,168.0,18,119.1,0.28,59616.0,Motor,Schneider,Y200,2570.0,6128
Planta Sur,1,168.0,24,75.69,2.76,44696.0,Motor,Schneider,Y200,2570.0,6128
Planta Norte,1,35.0,1,76.04,2.93,33106.0,Motor,Siemens,M400,4693.0,6355
Planta Norte,1,35.0,28,123.15,0.31,73441.0,Motor,Siemens,M400,4693.0,6355
Planta Norte,1,267.0,9,61.34,1.39,57131.0,Generador,Schneider,M400,2372.0,5027
Planta Norte,1,267.0,30,148.4,3.03,14547.0,Generador,Schneider,M400,2372.0,5027
Planta Oeste,1,118.0,11,67.41,2.62,43357.0,Motor,Schneider,Z300,3933.0,7775
Planta Oeste,1,118.0,21,108.5,2.83,47248.0,Motor,Schneider,Z300,3933.0,7775
Planta Sur,1,11.0,6,102.25,4.7,94635.0,Generador,Schneider,X100,4928.0,9028
Planta Sur,1,11.0,16,78.19,2.915,33811.0,Generador,Schneider,X100,4928.0,9028
Planta Este,1,45.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Este,1,45.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Este,1,49.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Este,1,49.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Sur,1,11.0,6,102.25,4.7,94635.0,Generador,Schneider,X100,4928.0,9028
Planta Sur,1,11.0,16,78.19,2.915,33811.0,Generador,Schneider,X100,4928.0,9028
Planta Norte,1,200.0,14,75.3,2.89,81794.0,Generador,Siemens,M400,2532.0,7947
Planta Norte,1,200.0,27,77.95,2.16,72761.0,Generador,Siemens,M400,2532.0,7947
Planta Sur,1,364.0,4,129.66,0.54,83149.0,Transformador,Siemens,Y200,75.0,7390
Planta Oeste,1,35.0,1,76.04,2.93,33106.0,Motor,Siemens,M400,4693.0,6355
Planta Oeste,1,35.0,28,123.15,0.31,73441.0,Motor,Siemens,M400,4693.0,6355
Planta Sur,1,251.0,23,139.63,2.41,64711.0,Motor,ABB,X100,4940.0,2463
Planta Este,1,195.0,12,140.93,1.92,24422.0,Generador,GE,Y200,2647.0,7909
Planta Este,1,195.0,15,82.99,4.21,14360.0,Generador,GE,Y200,2647.0,7909
Planta Oeste,1,76.0,4,85.04,2.04,78350.0,Compresor,Schneider,Z300,3000.0,1986
Planta Oeste,1,171.0,4,85.04,2.04,78350.0,Compresor,Schneider,Z300,3000.0,1986
Planta Oeste,1,77.0,26,82.43,2.83,84748.0,Motor,ABB,M400,954.0,5662
Planta Este,1,183.0,2,132.62,1.93,28520.0,Compresor,GE,X100,605.0,3503
Planta Oeste,1,391.0,4,74.82,4.14,10659.0,Generador,ABB,M400,2102.0,1681
Planta Oeste,1,391.0,7,84.37,0.54,5251.0,Generador,ABB,M400,2102.0,1681
Planta Oeste,1,391.0,18,114.56,4.25,45787.0,Generador,ABB,M400,2102.0,1681
Planta Sur,1,199.0,18,76.04,0.98,7270.0,Motor,ABB,Z300,227.0,7274
Planta Oeste,1,290.0,6,75.92,1.79,10616.0,Motor,Schneider,M400,4523.0,3637
Planta Oeste,1,290.0,18,64.33,1.12,59013.0,Motor,Schneider,M400,4523.0,3637
Planta Oeste,1,290.0,29,132.86,2.36,78212.0,Motor,Schneider,M400,4523.0,3637
Planta Este,0,238.0,23,127.48,0.84,61519.0,Transformador,Siemens,Y200,4850.0,1762
Planta Este,0,238.0,24,137.1,4.15,35274.0,Transformador,Siemens,Y200,4850.0,1762
Planta Este,1,322.0,4,95.57,4.01,11388.0,Compresor,Schneider,Y200,3111.0,4591
Planta Este,1,322.0,12,110.9,0.23,22343.0,Compresor,Schneider,Y200,3111.0,4591
Planta Oeste,0,45.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Oeste,0,45.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Oeste,0,49.0,11,92.51,3.94,19283.0,Motor,Siemens,Z300,1883.0,9004
Planta Oeste,0,49.0,13,118.37,4.37,65427.0,Motor,Siemens,Z300,1883.0,9004
Planta Este,1,491.0,23,72.06,1.49,74847.0,Transformador,Siemens,M400,3807.0,3178
Planta Este,1,491.0,30,116.46,1.47,60773.0,Transformador,Siemens,M400,3807.0,3178
Planta Oeste,1,233.0,27,116.22,3.85,30624.0,Motor,GE,Y200,1584.0,4722
Planta Oeste,0,11.0,6,102.25,4.7,94635.0,Generador,Schneider,X100,4928.0,9028
Planta Oeste,0,11.0,16,78.19,2.915,33811.0,Generador,Schneider,X100,4928.0,9028
Planta Sur,1,407.0,1,97.09,3.25,31744.0,Generador,Schneider,Y200,529.0,7127
Planta Sur,1,365.0,1,122.81,2.45,82301.0,Compresor,GE,Z300,2678.0,9876
Planta Sur,1,365.0,7,125.75,4.98,98451.0,Compresor,GE,Z300,2678.0,9876
Planta Norte,1,189.0,11,95.65,4.5,81395.0,Transformador,GE,M400,2077.0,547
Planta Norte,1,189.0,15,57.25,3.39,59878.0,Transformador,GE,M400,2077.0,547
Planta Sur,1,306.0,30,123.29,0.33,72708.0,Compresor,ABB,Y200,4783.0,5133
Planta Norte,0,72.0,12,88.64,2.09,86769.0,Generador,Siemens,Z300,3332.0,6373
Planta Norte,0,526.0,12,88.64,2.09,86769.0,Generador,Siemens,Z300,3332.0,6373
Planta Sur,1,480.0,18,85.43,0.47,34836.0,Compresor,ABB,Z300,3352.0,7649
Planta Oeste,1,395.0,26,62.13,2.21,58389.0,Generador,Schneider,Y200,633.0,8203
Planta Oeste,1,395.0,29,125.85,0.88,86870.0,Generador,Schneider,Y200,633.0,8203
Planta Oeste,1,154.0,26,62.13,2.21,58389.0,Generador,Schneider,Y200,633.0,8203
Planta Oeste,1,154.0,29,125.85,0.88,86870.0,Generador,Schneider,Y200,633.0,8203
