ID_Equipo,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
242,Transformador,Siemens,Z300,1958.0,9066
243,Generador,GE,M400,1264.0,9542
244,Generador,ABB,X100,1206.0,1061
245,Compresor,ABB,M400,3458.0,1501
246,Generador,ABB,Y200,2067.0,9164
247,Motor,ABB,Z300,2601.0,8640
248,Motor,Schneider,M400,517.0,2802
249,Compresor,Siemens,Z300,3991.0,9920
250,Motor,Siemens,Z300,4517.0,7069
251,Transformador,GE,Z300,2713.0,3142
252,Transformador,ABB,X100,2112.0,3199
253,Motor,ABB,X100,4694.0,7565
254,Generador,ABB,M400,2796.0,1717
255,Transformador,Siemens,Y200,4850.0,1762
256,Compresor,ABB,Y200,4368.0,3221
257,Transformador,Siemens,X100,695.0,8247
258,Compresor,Schneider,Y200,50857.740682988755,3712
259,Transformador,Schneider,Y200,2662.0,1005
260,Generador,ABB,X100,453.0,1909
261,Transformador,ABB,Y200,3674.0,8328
262,Compresor,Schneider,M400,4966.0,7411
263,Generador,Schneider,X100,2565.0,9374
264,Compresor,GE,M400,4624.0,4697
265,Transformador,GE,X100,4783.0,5524
266,Generador,Schneider,Y200,2363.0,5881
267,Compresor,GE,M400,2471.0,7099
268,Motor,Schneider,X100,1586.0,1606
269,Compresor,ABB,Y200,-100.0,3636
270,Generador,Schneider,X100,2825.0,1283
271,Motor,GE,Y200,1102.0,9400
272,Transformador,Schneider,Y200,65932.54528364024,9701
273,Motor,Schneider,Y200,3607.0,6085
274,Motor,Schneider,Y200,2600.0,2830
275,Generador,ABB,X100,4676.0,1846
276,Compresor,Siemens,Y200,263.0,4425
277,Transformador,Siemens,Z300,1396.0,8560
278,Transformador,Siemens,M400,3807.0,3178
279,Compresor,GE,X100,2034.0,2128
280,Transformador,Siemens,X100,2539.0,9026
281,Generador,Schneider,Y200,529.0,7127
282,Transformador,Siemens,M400,2038.0,7994
283,Generador,GE,Y200,2647.0,7909
284,Generador,ABB,X100,1333.0,6304
285,Compresor,Siemens,Y200,756.0,8274
286,Generador,GE,Y200,3432.0,8213
287,Generador,Siemens,X100,4086.0,2875
288,Motor,Siemens,M400,4916.0,4906
289,Compresor,GE,X100,3217.0,7013
290,Generador,ABB,Y200,943.0,7124
291,Compresor,Schneider,X100,685.0,940
292,Transformador,Schneider,Z300,3230.0,8494
293,Generador,GE,X100,865.0,6478
294,Transformador,Schneider,M400,3805.0,4578
295,Motor,ABB,Y200,1020.0,4170
296,Compresor,Schneider,X100,1192.0,6299
297,Transformador,GE,X100,3728.0,8016
298,Transformador,Siemens,Z300,1881.0,4891
299,Transformador,Schneider,X100,994.0,9454
300,Generador,GE,X100,2669.0,7561
301,Generador,GE,Z300,1734.0,2151
302,Compresor,Schneider,X100,3323.0,9819
303,Compresor,Schneider,M400,3407.0,5079
304,Transformador,Siemens,Z300,976.0,7790
305,Transformador,ABB,Y200,3088.0,6845
306,Generador,Schneider,X100,1296.0,9789
307,Motor,GE,Y200,1584.0,4722
308,Motor,ABB,Y200,2184.0,8003
309,Generador,ABB,X100,194.0,4061
310,Transformador,GE,Z300,4980.0,6407
311,Generador,Siemens,X100,3549.0,9211
312,Generador,ABB,X100,4856.0,4327
313,Transformador,Siemens,Y200,2934.0,6830
314,Transformador,GE,Y200,3653.0,8467
315,Motor,ABB,M400,954.0,5662
316,Motor,ABB,M400,3897.0,7338
317,Transformador,ABB,Z300,1661.0,2753
318,Motor,ABB,Z300,1780.0,8351
319,Compresor,ABB,M400,2824.0,4147
320,Transformador,Siemens,X100,2864.0,6610
321,Compresor,Siemens,M400,-100.0,5055
322,Transformador,ABB,X100,650.0,9074
323,Transformador,ABB,Y200,2166.0,9505
324,Generador,ABB,M400,2102.0,1681
325,Transformador,ABB,Y200,3158.0,3100
326,Compresor,ABB,Z300,1337.0,5831
327,Motor,Schneider,Y200,3480.0,4455
328,Generador,ABB,Z300,1730.0,3169
329,Compresor,Siemens,Y200,4276.0,6583
330,Transformador,Siemens,X100,1626.0,4523
331,Motor,ABB,Z300,227.0,7274
332,Motor,GE,Z300,3977.0,6321
333,Compresor,Schneider,Z300,3400.0,2557
334,Generador,ABB,Z300,4614.0,1181
335,Generador,Schneider,X100,4762.0,7944
336,Motor,Siemens,Y200,4978.0,7984
337,Transformador,ABB,Z300,2109.0,8902
338,Generador,Siemens,M400,2532.0,7947
339,Generador,Schneider,Z300,694.0,2478
340,Compresor,Schneider,Z300,3000.0,1986
341,Motor,ABB,Z300,260.0,7954
342,Motor,GE,M400,4223.0,1741
343,Motor,Schneider,M400,711.0,7136
344,Generador,Schneider,Z300,-100.0,6729
345,Compresor,Schneider,Y200,3111.0,4591
346,Transformador,Siemens,Y200,2072.0,1423
347,Transformador,Siemens,X100,4948.0,6720
348,Motor,ABB,M400,1460.0,5716
349,Compresor,ABB,Z300,1328.0,7713
350,Transformador,Schneider,X100,968.0,2098
351,Generador,Siemens,X100,4387.0,665
352,Transformador,GE,Y200,2825.0,3079
353,Generador,ABB,Y200,2152.0,6467
354,Generador,Siemens,Y200,4129.0,2344
355,Motor,ABB,M400,4825.0,2522
356,Motor,GE,Z300,843.0,2684
357,Motor,Siemens,X100,1895.0,4108
358,Generador,Siemens,Z300,2462.0,8466
359,Generador,Siemens,Y200,1294.0,7995
360,Compresor,Schneider,X100,4932.0,2023
361,Motor,ABB,Z300,3028.0,8369
362,Transformador,GE,X100,4333.0,3246
363,Motor,ABB,X100,163.0,1073
364,Generador,Schneider,Y200,4786.0,3780
365,Transformador,Schneider,Z300,3039.0,1487
366,Compresor,GE,Z300,2678.0,9876
367,Compresor,Siemens,Z300,3893.0,4231
368,Generador,Schneider,Y200,633.0,8203
369,Compresor,Schneider,Y200,1671.0,8525
370,Transformador,GE,M400,-100.0,917
371,Motor,ABB,M400,187.0,9954
372,Compresor,Schneider,X100,4925.0,7358
373,Compresor,ABB,M400,2074.0,6712
374,Compresor,Siemens,Y200,358.0,7100
375,Compresor,Siemens,M400,4748.0,4649
376,Transformador,Siemens,M400,899.0,3355
377,Generador,Schneider,Z300,2106.0,3763
378,Compresor,ABB,X100,4944.0,8389
379,Generador,Siemens,M400,3623.0,4932
380,Motor,ABB,Y200,2493.0,2315
381,Transformador,GE,Y200,2004.0,4024
382,Motor,Schneider,X100,1965.0,1235
383,Generador,GE,Z300,1885.0,5439
384,Generador,ABB,M400,1614.0,2364
385,Motor,GE,Z300,4547.0,1070
386,Generador,Schneider,Z300,4192.0,9303
387,Compresor,ABB,X100,1909.0,3043
388,Compresor,Schneider,Z300,3973.0,5667
389,Generador,Schneider,Y200,2697.0,2593
390,Transformador,Siemens,X100,244.0,6357
391,Motor,Schneider,Z300,396.0,5295
392,Transformador,GE,Y200,1307.0,9099
393,Compresor,ABB,X100,2157.0,9328
394,Generador,Schneider,Z300,3111.0,6653
395,Compresor,Siemens,X100,3778.0,7104
396,Compresor,Siemens,Y200,4845.0,1617
397,Compresor,Siemens,Z300,2707.0,5146
398,Compresor,ABB,Y200,639.0,3911
399,Transformador,Siemens,M400,1708.0,1141
400,Transformador,ABB,X100,1198.0,4381
401,Motor,Schneider,M400,532.0,601
402,Transformador,GE,X100,592.0,4587
403,Motor,ABB,Y200,2597.0,4993
404,Generador,Siemens,M400,2390.0,4658
405,Transformador,Schneider,Y200,2907.0,9839
406,Motor,Siemens,X100,2505.0,1688
407,Compresor,ABB,Y200,1643.0,9754
408,Motor,Schneider,M400,86874.27075109314,9680
409,Compresor,Siemens,Y200,1251.0,7645
410,Compresor,Siemens,Y200,4265.0,5663
411,Transformador,Siemens,Y200,613.0,3036
412,Transformador,Siemens,Y200,90411.13923363858,1947
413,Compresor,GE,Y200,4531.0,7957
414,Motor,ABB,Y200,1220.0,6441
415,Motor,Schneider,Y200,2000.0,7703
416,Generador,Siemens,M400,1900.0,9643
417,Compresor,Siemens,Z300,677.0,6202
418,Compresor,GE,X100,2766.0,1383
419,Motor,Siemens,Y200,2089.0,8444
420,Generador,ABB,M400,1536.0,1999
421,Generador,GE,Y200,1255.0,5509
422,Motor,GE,Y200,1911.0,6148
423,Generador,GE,Y200,307.0,7472
424,Motor,GE,Y200,1380.0,4385
425,Transformador,GE,Y200,2892.0,2130
426,Generador,Schneider,Z300,2294.0,5147
427,Motor,GE,X100,1549.0,8111
428,Generador,Schneider,Y200,2895.0,3266
429,Compresor,GE,X100,3119.0,1099
430,Compresor,Siemens,Z300,3902.0,9335
431,Transformador,GE,M400,253.0,7764
432,Generador,ABB,Z300,2986.0,7395
433,Motor,Siemens,Y200,2525.0,1622
434,Motor,Schneider,Y200,503.0,9649
435,Generador,GE,M400,1804.0,3875
436,Generador,Siemens,Y200,94117.69144921916,547
437,Generador,Schneider,M400,4432.0,2863
438,Compresor,Schneider,Y200,3378.0,4455
439,Motor,ABB,X100,4447.0,2041
440,Generador,Siemens,M400,59627.055034822515,4032
441,Transformador,ABB,M400,4796.0,9453
442,Transformador,ABB,X100,4802.0,1402
443,Motor,Siemens,M400,4693.0,6355
444,Compresor,Siemens,X100,52937.48042156463,6451
445,Transformador,ABB,Y200,2069.0,3105
446,Compresor,Siemens,Z300,1095.0,1793
447,Transformador,Schneider,Z300,3504.0,7189
448,Generador,Siemens,X100,3877.0,7529
449,Generador,Siemens,X100,2395.0,8947
450,Compresor,GE,Y200,1730.0,6823
451,Generador,Schneider,X100,1157.0,7516
452,Compresor,Siemens,Z300,4203.0,6829
453,Generador,ABB,Y200,4432.0,7987
454,Transformador,GE,Y200,1961.0,2754
455,Compresor,GE,M400,378.0,6547
456,Motor,ABB,Y200,3925.0,5112
457,Compresor,ABB,X100,-100.0,3496
458,Motor,ABB,M400,1324.0,6036
459,Compresor,ABB,Z300,3352.0,7649
460,Motor,ABB,Z300,1743.0,6195
461,Generador,Siemens,Z300,1058.0,9116
462,Compresor,Schneider,Y200,4806.0,3952
463,Compresor,Schneider,X100,329.0,3339
464,Generador,GE,M400,4412.0,1491
465,Motor,GE,Z300,90887.37348002406,9518
466,Generador,Siemens,M400,1164.0,3592
467,Compresor,GE,X100,-100.0,5794
468,Transformador,Siemens,X100,64576.38977982746,3766
469,Compresor,GE,X100,998.0,692
470,Motor,Schneider,Y200,2570.0,6128
471,Transformador,Siemens,Z300,-100.0,4985
472,Generador,ABB,Z300,4234.0,8912
473,Generador,Siemens,Z300,1796.0,5181
474,Transformador,GE,Y200,4404.0,3405
475,Compresor,Siemens,Y200,1865.0,1751
476,Compresor,GE,Y200,1626.0,9660
477,Generador,GE,X100,2625.0,4602
478,Motor,Schneider,Y200,1706.0,7017
479,Generador,Schneider,Z300,2723.0,5136
480,Motor,GE,Y200,1931.0,535
481,Transformador,ABB,M400,1924.0,1963
482,Transformador,Siemens,Z300,855.0,3689
483,Compresor,GE,M400,3598.0,8062
484,Motor,Siemens,X100,1145.0,2060
485,Motor,ABB,M400,4074.0,7154
486,Transformador,Siemens,Z300,1106.0,1460
487,Motor,Schneider,M400,2185.0,2890
488,Transformador,Schneider,Z300,4841.0,1228
489,Motor,Siemens,M400,3820.0,2081
490,Transformador,Siemens,Y200,3247.0,6735
491,Generador,ABB,Y200,-100.0,2499
492,Compresor,Schneider,X100,4990.0,4462
493,Generador,Siemens,X100,953.0,3630
494,Transformador,Schneider,Y200,3453.0,565
495,Motor,Schneider,Z300,3933.0,7775
496,Transformador,Schneider,Z300,544.0,3331
497,Compresor,GE,M400,3296.0,8256
498,Generador,Siemens,X100,4231.0,9047
499,Motor,Siemens,Y200,3155.0,932
500,Transformador,GE,M400,2001.0,2031
1,Compresor,Siemens,Z300,3429.0,7725
2,Transformador,Siemens,Y200,75.0,7390
3,Compresor,ABB,Z300,4526.0,5238
4,Compresor,GE,X100,3981.0,8933
5,Motor,Siemens,Y200,377.0,5978
