ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Tiempo_Reparacion_Horas,Costo_Mantenimiento,Ubicacion
OT000070,E016,2015-03-11,Preventivo,37,4331,Planta Norte
OT000071,E001,2015-03-12,Correctivo,37,4801,Planta Este
OT000072,E011,2015-03-13,Preventivo,42,890,Planta Sur
OT000073,E013,2015-03-14,Preventivo,34,3730,Planta Norte
OT000074,E008,2015-03-15,Preventivo,12,909,Planta Norte
OT000075,E004,2015-03-16,Correctivo,12,4446,Planta Este
OT000076,E014,2015-03-17,Correctivo,6,2286,Planta Sur
OT000077,E015,2015-03-18,Correctivo,18,552,Planta Sur
OT000078,E009,2015-03-19,Correctivo,38,4879,Planta Norte
OT000079,E019,2015-03-20,Preventivo,12,2168,Planta Norte
OT000080,E003,2015-03-21,Correctivo,43,3784,Planta Sur
OT000081,E012,2015-03-22,Preventivo,45,4341,Planta Norte
OT000082,E003,2015-03-23,Preventivo,37,2093,Planta Oeste
OT000083,E012,2015-03-24,Correctivo,6,3774,Planta Este
OT000084,E001,2015-03-25,Correctivo,32,4933,Planta Sur
OT000085,E014,2015-03-26,Preventivo,39,3143,Planta Este
OT000086,E008,2015-03-27,Preventivo,24,3502,Planta Este
OT000087,E005,2015-03-28,Preventivo,3,2885,Planta Este
OT000088,E011,2015-03-29,Preventivo,35,2532,Planta Sur
OT000089,E014,2015-03-30,Preventivo,41,781,Planta Este
OT000090,E013,2015-03-31,Preventivo,41,1876,Planta Este
OT000091,E017,2015-04-01,Preventivo,18,2043,Planta Norte
OT000092,E006,2015-04-02,Preventivo,29,1779,Planta Oeste
OT000093,E003,2015-04-03,Preventivo,44,984,Planta Sur
OT000094,E011,2015-04-04,Preventivo,32,1920,Planta Sur
OT000095,E018,2015-04-05,Preventivo,6,3121,Planta Norte
OT000096,E007,2015-04-06,Preventivo,10,1332,Planta Oeste
OT000097,E020,2015-04-07,Preventivo,21,792,Planta Sur
OT000098,E001,2015-04-08,Correctivo,40,1727,Planta Sur
OT000099,E007,2015-04-09,Correctivo,38,3956,Planta Este
OT000100,E001,2015-04-10,Correctivo,45,3377,Planta Sur
OT000101,E016,2015-04-11,Correctivo,6,2347,Planta Sur
OT000102,E002,2015-04-12,Correctivo,35,3888,Planta Este
OT000103,E010,2015-04-13,Correctivo,17,4729,Planta Sur
OT000104,E012,2015-04-14,Correctivo,16,4256,Planta Norte
OT000105,E006,2015-04-15,Correctivo,42,1741,Planta Norte
OT000106,E016,2015-04-16,Correctivo,16,3243,Planta Norte
OT000107,E006,2015-04-17,Preventivo,7,1865,Planta Este
OT000108,E004,2015-04-18,Correctivo,3,1427,Planta Oeste
OT000109,E018,2015-04-19,Correctivo,13,1754,Planta Oeste
OT000110,E013,2015-04-20,Preventivo,17,1136,Planta Oeste
OT000111,E012,2015-04-21,Correctivo,26,4106,Planta Sur
OT000112,E003,2015-04-22,Preventivo,12,4546,Planta Sur
OT000113,E018,2015-04-23,Preventivo,19,2512,Planta Sur
OT000114,E020,2015-04-24,Preventivo,12,3143,Planta Sur
OT000115,E003,2015-04-25,Preventivo,27,2028,Planta Norte
OT000116,E014,2015-04-26,Correctivo,44,553,Planta Oeste
OT000117,E008,2015-04-27,Correctivo,17,2626,Planta Oeste
OT000118,E011,2015-04-28,Correctivo,37,4271,Planta Oeste
OT000119,E005,2015-04-29,Correctivo,26,3672,Planta Oeste
OT000120,E016,2015-04-30,Correctivo,42,3345,Planta Norte
OT000121,E005,2015-05-01,Correctivo,29,907,Planta Oeste
OT000122,E015,2015-05-02,Correctivo,21,4259,Planta Este
OT000123,E020,2015-05-03,Preventivo,26,2804,Planta Oeste
OT000124,E013,2015-05-04,Correctivo,40,4220,Planta Oeste
OT000125,E006,2015-05-05,Preventivo,26,3194,Planta Sur
OT000126,E012,2015-05-06,Correctivo,2,627,Planta Norte
OT000127,E020,2015-05-07,Correctivo,27,598,Planta Norte
OT000128,E006,2015-05-08,Correctivo,14,2917,Planta Oeste
OT000129,E007,2015-05-09,Correctivo,11,3107,Planta Oeste
OT000130,E020,2015-05-10,Correctivo,15,898,Planta Sur
OT000131,E018,2015-05-11,Preventivo,36,1545,Planta Norte
OT000132,E010,2015-05-12,Preventivo,12,873,Planta Este
OT000133,E010,2015-05-13,Correctivo,9,4365,Planta Oeste
OT000134,E001,2015-05-14,Preventivo,6,2942,Planta Este
OT000135,E003,2015-05-15,Correctivo,14,4489,Planta Este
OT000136,E003,2015-05-16,Correctivo,42,1714,Planta Este
OT000137,E020,2015-05-17,Preventivo,26,2524,Planta Este
OT000138,E015,2015-05-18,Correctivo,2,3503,Planta Sur
OT000139,E017,2015-05-19,Preventivo,29,3242,Planta Oeste
OT000140,E010,2015-05-20,Correctivo,35,1795,Planta Norte
OT000141,E009,2015-05-21,Preventivo,4,1807,Planta Oeste
OT000142,E007,2015-05-22,Correctivo,37,1131,Planta Este
OT000143,E019,2015-05-23,Correctivo,19,4514,Planta Este
OT000144,E015,2015-05-24,Preventivo,13,4425,Planta Oeste
OT000145,E010,2015-05-25,Correctivo,4,2561,Planta Sur
OT000146,E015,2015-05-26,Preventivo,22,3931,Planta Este
OT000147,E015,2015-05-27,Correctivo,11,2061,Planta Sur
OT000148,E020,2015-05-28,Preventivo,17,4435,Planta Norte
OT000149,E014,2015-05-29,Preventivo,37,4731,Planta Sur
OT000150,E001,2015-05-30,Correctivo,31,3488,Planta Sur
OT000151,E004,2015-05-31,Correctivo,33,3234,Planta Este
OT000152,E010,2015-06-01,Preventivo,10,2297,Planta Sur
OT000153,E001,2015-06-02,Correctivo,37,2624,Planta Sur
OT000154,E010,2015-06-03,Correctivo,4,3081,Planta Sur
OT000155,E001,2015-06-04,Correctivo,24,2282,Planta Oeste
OT000156,E020,2015-06-05,Preventivo,26,1445,Planta Este
OT000157,E015,2015-06-06,Preventivo,2,3102,Planta Oeste
OT000158,E002,2015-06-07,Correctivo,6,899,Planta Oeste
OT000159,E019,2015-06-08,Preventivo,32,3504,Planta Sur
OT000160,E016,2015-06-09,Correctivo,3,2211,Planta Norte
OT000161,E004,2015-06-10,Preventivo,37,4190,Planta Sur
OT000162,E014,2015-06-11,Correctivo,43,3521,Planta Este
OT000163,E012,2015-06-12,Correctivo,21,3985,Planta Este
OT000164,E004,2015-06-13,Correctivo,34,2252,Planta Este
OT000165,E010,2015-06-14,Correctivo,8,899,Planta Norte
OT000166,E006,2015-06-15,Preventivo,11,4782,Planta Oeste
OT000167,E008,2015-06-16,Correctivo,21,2219,Planta Oeste
OT000168,E005,2015-06-17,Preventivo,19,801,Planta Sur
OT000169,E020,2015-06-18,Preventivo,32,2514,Planta Oeste
OT000170,E007,2015-06-19,Preventivo,20,1370,Planta Oeste
OT000171,E002,2015-06-20,Preventivo,45,2565,Planta Oeste
OT000172,E014,2015-06-21,Correctivo,42,4622,Planta Norte
OT000173,E002,2015-06-22,Correctivo,9,4613,Planta Norte
OT000174,E003,2015-06-23,Preventivo,6,767,Planta Norte
OT000175,E020,2015-06-24,Correctivo,20,4998,Planta Sur
OT000176,E017,2015-06-25,Preventivo,43,2245,Planta Este
OT000177,E017,2015-06-26,Correctivo,41,3495,Planta Oeste
OT000178,E013,2015-06-27,Correctivo,45,3626,Planta Sur
OT000179,E006,2015-06-28,Preventivo,18,4409,Planta Norte
OT000180,E008,2015-06-29,Correctivo,23,4744,Planta Sur
OT000181,E020,2015-06-30,Correctivo,11,669,Planta Norte
OT000182,E008,2015-07-01,Correctivo,35,2080,Planta Norte
OT000183,E019,2015-07-02,Correctivo,22,4977,Planta Oeste
OT000184,E018,2015-07-03,Preventivo,19,532,Planta Sur
OT000185,E017,2015-07-04,Correctivo,19,3835,Planta Oeste
OT000186,E011,2015-07-05,Correctivo,35,4280,Planta Sur
OT000187,E008,2015-07-06,Preventivo,4,3599,Planta Este
OT000188,E010,2015-07-07,Preventivo,8,2322,Planta Sur
OT000189,E014,2015-07-08,Correctivo,34,2431,Planta Este
OT000190,E011,2015-07-09,Correctivo,18,3180,Planta Este
OT000191,E018,2015-07-10,Correctivo,8,1071,Planta Este
OT000192,E015,2015-07-11,Preventivo,36,3248,Planta Este
OT000193,E020,2015-07-12,Preventivo,4,2856,Planta Oeste
OT000194,E014,2015-07-13,Correctivo,15,4143,Planta Norte
OT000195,E007,2015-07-14,Preventivo,24,3537,Planta Norte
OT000196,E011,2015-07-15,Correctivo,31,868,Planta Oeste
OT000197,E019,2015-07-16,Correctivo,26,904,Planta Sur
OT000198,E018,2015-07-17,Correctivo,22,3638,Planta Oeste
OT000199,E011,2015-07-18,Preventivo,16,1443,Planta Norte
OT000200,E015,2015-07-19,Preventivo,19,1280,Planta Sur
OT000201,E017,2015-07-20,Preventivo,32,3679,Planta Norte
OT000202,E017,2015-07-21,Correctivo,20,2375,Planta Este
OT000203,E002,2015-07-22,Correctivo,47,3143,Planta Oeste
OT000204,E006,2015-07-23,Preventivo,24,2402,Planta Oeste
OT000205,E017,2015-07-24,Correctivo,17,1607,Planta Oeste
OT000206,E001,2015-07-25,Preventivo,2,1184,Planta Sur
OT000207,E012,2015-07-26,Preventivo,27,2011,Planta Norte
OT000208,E017,2015-07-27,Correctivo,25,2586,Planta Este
OT000209,E009,2015-07-28,Preventivo,30,1010,Planta Norte
OT000210,E016,2015-07-29,Preventivo,39,2692,Planta Este
OT000211,E010,2015-07-30,Correctivo,7,2049,Planta Este
OT000212,E016,2015-07-31,Preventivo,40,1560,Planta Oeste
OT000213,E014,2015-08-01,Correctivo,5,3906,Planta Norte
OT000214,E014,2015-08-02,Correctivo,22,3779,Planta Norte
OT000215,E008,2015-08-03,Correctivo,30,1067,Planta Este
OT000216,E010,2015-08-04,Correctivo,40,2422,Planta Norte
OT000217,E016,2015-08-05,Preventivo,44,4029,Planta Oeste
OT000218,E010,2015-08-06,Preventivo,43,4379,Planta Oeste
OT000219,E016,2015-08-07,Preventivo,24,1422,Planta Sur
OT000220,E003,2015-08-08,Correctivo,40,2542,Planta Oeste
OT000221,E018,2015-08-09,Correctivo,14,3597,Planta Este
OT000222,E005,2015-08-10,Preventivo,17,4691,Planta Este
OT000223,E004,2015-08-11,Correctivo,36,1417,Planta Este
OT000224,E005,2015-08-12,Correctivo,43,3001,Planta Oeste
OT000225,E005,2015-08-13,Correctivo,30,1680,Planta Norte
OT000226,E005,2015-08-14,Correctivo,36,1126,Planta Este
OT000227,E011,2015-08-15,Preventivo,15,2742,Planta Este
OT000228,E018,2015-08-16,Preventivo,15,4142,Planta Norte
OT000229,E004,2015-08-17,Correctivo,28,1505,Planta Sur
OT000230,E016,2015-08-18,Preventivo,16,3248,Planta Norte
OT000231,E003,2015-08-19,Preventivo,24,4148,Planta Oeste
OT000232,E007,2015-08-20,Correctivo,15,4028,Planta Norte
OT000233,E015,2015-08-21,Correctivo,28,4192,Planta Norte
OT000234,E005,2015-08-22,Preventivo,26,840,Planta Este
OT000235,E019,2015-08-23,Preventivo,11,1439,Planta Oeste
OT000236,E012,2015-08-24,Preventivo,30,4384,Planta Este
OT000237,E012,2015-08-25,Correctivo,30,2763,Planta Sur
OT000238,E018,2015-08-26,Preventivo,19,4398,Planta Sur
OT000239,E016,2015-08-27,Correctivo,4,4640,Planta Norte
OT000240,E010,2015-08-28,Correctivo,26,3918,Planta Oeste
OT000241,E013,2015-08-29,Correctivo,11,1048,Planta Sur
OT000242,E019,2015-08-30,Preventivo,17,2395,Planta Sur
OT000243,E004,2015-08-31,Correctivo,5,1417,Planta Oeste
OT000244,E019,2015-09-01,Preventivo,3,4348,Planta Sur
OT000245,E011,2015-09-02,Correctivo,12,1250,Planta Oeste
OT000246,E004,2015-09-03,Preventivo,20,1236,Planta Oeste
OT000247,E009,2015-09-04,Preventivo,37,941,Planta Norte
OT000248,E017,2015-09-05,Correctivo,13,3687,Planta Oeste
OT000249,E002,2015-09-06,Correctivo,27,4307,Planta Norte
OT000250,E011,2015-09-07,Correctivo,22,781,Planta Sur
OT000251,E017,2015-09-08,Preventivo,34,3894,Planta Sur
OT000252,E017,2015-09-09,Correctivo,24,3842,Planta Oeste
OT000253,E006,2015-09-10,Preventivo,7,1795,Planta Sur
OT000254,E006,2015-09-11,Preventivo,40,4315,Planta Oeste
OT000255,E012,2015-09-12,Correctivo,36,3363,Planta Este
OT000256,E004,2015-09-13,Correctivo,27,1201,Planta Sur
OT000257,E019,2015-09-14,Preventivo,16,1881,Planta Sur
OT000258,E017,2015-09-15,Correctivo,31,756,Planta Oeste
OT000259,E010,2015-09-16,Correctivo,27,2727,Planta Norte
OT000260,E005,2015-09-17,Correctivo,15,2127,Planta Sur
OT000261,E019,2015-09-18,Preventivo,28,2532,Planta Norte
OT000262,E009,2015-09-19,Correctivo,2,2777,Planta Norte
OT000263,E004,2015-09-20,Correctivo,17,811,Planta Oeste
OT000264,E008,2015-09-21,Correctivo,45,1824,Planta Sur
OT000265,E004,2015-09-22,Correctivo,12,4383,Planta Norte
OT000266,E004,2015-09-23,Preventivo,11,2489,Planta Norte
OT000267,E003,2015-09-24,Preventivo,31,4502,Planta Norte
OT000268,E013,2015-09-25,Preventivo,26,849,Planta Oeste
OT000269,E010,2015-09-26,Preventivo,45,1979,Planta Este
OT000270,E017,2015-09-27,Preventivo,44,1076,Planta Sur
OT000271,E007,2015-09-28,Preventivo,17,3424,Planta Oeste
OT000272,E019,2015-09-29,Preventivo,2,2643,Planta Este
OT000273,E020,2015-09-30,Correctivo,45,554,Planta Sur
OT000274,E004,2015-10-01,Correctivo,22,4957,Planta Oeste
OT000275,E014,2015-10-02,Preventivo,33,1402,Planta Oeste
OT000276,E017,2015-10-03,Preventivo,47,4423,Planta Sur
OT000277,E013,2015-10-04,Preventivo,20,2454,Planta Norte
OT000278,E007,2015-10-05,Correctivo,46,1779,Planta Sur
OT000279,E006,2015-10-06,Correctivo,22,2900,Planta Norte
OT000280,E001,2015-10-07,Correctivo,14,4848,Planta Este
OT000281,E018,2015-10-08,Preventivo,42,841,Planta Norte
OT000282,E019,2015-10-09,Correctivo,41,1102,Planta Norte
OT000283,E015,2015-10-10,Correctivo,6,4010,Planta Oeste
OT000284,E003,2015-10-11,Preventivo,24,2161,Planta Este
OT000285,E010,2015-10-12,Correctivo,33,947,Planta Este
OT000286,E007,2015-10-13,Preventivo,36,3114,Planta Este
OT000287,E011,2015-10-14,Preventivo,34,1291,Planta Sur
OT000288,E005,2015-10-15,Preventivo,27,4645,Planta Sur
OT000289,E020,2015-10-16,Correctivo,3,3815,Planta Oeste
OT000290,E011,2015-10-17,Preventivo,45,1909,Planta Este
OT000291,E004,2015-10-18,Preventivo,30,2628,Planta Norte
OT000292,E006,2015-10-19,Preventivo,27,1850,Planta Oeste
OT000293,E006,2015-10-20,Preventivo,4,2351,Planta Norte
OT000294,E018,2015-10-21,Preventivo,29,3429,Planta Este
OT000295,E012,2015-10-22,Preventivo,23,3851,Planta Sur
OT000296,E010,2015-10-23,Preventivo,33,1510,Planta Norte
OT000297,E019,2015-10-24,Preventivo,34,1945,Planta Sur
OT000298,E007,2015-10-25,Preventivo,37,991,Planta Este
OT000299,E007,2015-10-26,Correctivo,19,4858,Planta Sur
OT000300,E004,2015-10-27,Preventivo,44,3448,Planta Oeste
OT000301,E013,2015-10-28,Correctivo,8,4972,Planta Oeste
OT000302,E015,2015-10-29,Correctivo,43,1845,Planta Sur
OT000303,E014,2015-10-30,Preventivo,27,2583,Planta Este
OT000304,E020,2015-10-31,Preventivo,32,3348,Planta Este
OT000305,E001,2015-11-01,Preventivo,11,3813,Planta Oeste
OT000306,E008,2015-11-02,Preventivo,26,4966,Planta Oeste
OT000307,E014,2015-11-03,Preventivo,31,1491,Planta Norte
OT000308,E017,2015-11-04,Preventivo,7,2966,Planta Norte
OT000309,E014,2015-11-05,Preventivo,45,851,Planta Norte
OT000310,E010,2015-11-06,Preventivo,36,4772,Planta Sur
OT000311,E017,2015-11-07,Preventivo,43,2266,Planta Norte
OT000312,E012,2015-11-08,Preventivo,5,3454,Planta Este
OT000313,E016,2015-11-09,Correctivo,35,3826,Planta Oeste
OT000314,E012,2015-11-10,Preventivo,42,3698,Planta Sur
OT000315,E004,2015-11-11,Correctivo,32,3096,Planta Norte
OT000316,E020,2015-11-12,Correctivo,7,2839,Planta Norte
OT000317,E015,2015-11-13,Preventivo,40,3472,Planta Norte
OT000318,E008,2015-11-14,Correctivo,47,3500,Planta Este
OT000319,E006,2015-11-15,Correctivo,26,3864,Planta Oeste
OT000320,E015,2015-11-16,Preventivo,31,4097,Planta Oeste
OT000321,E009,2015-11-17,Preventivo,24,2895,Planta Sur
OT000322,E005,2015-11-18,Correctivo,15,3998,Planta Norte
OT000323,E004,2015-11-19,Correctivo,36,3494,Planta Oeste
OT000324,E006,2015-11-20,Correctivo,4,4021,Planta Oeste
OT000325,E013,2015-11-21,Correctivo,38,3758,Planta Norte
OT000326,E007,2015-11-22,Preventivo,44,3867,Planta Sur
OT000327,E011,2015-11-23,Correctivo,4,1074,Planta Oeste
OT000328,E007,2015-11-24,Correctivo,23,2684,Planta Sur
OT000329,E010,2015-11-25,Preventivo,9,2176,Planta Norte
OT000330,E011,2015-11-26,Preventivo,5,2018,Planta Oeste
OT000331,E018,2015-11-27,Preventivo,8,4354,Planta Sur
OT000332,E007,2015-11-28,Correctivo,5,786,Planta Sur
OT000333,E013,2015-11-29,Preventivo,43,3756,Planta Este
OT000334,E019,2015-11-30,Preventivo,19,3681,Planta Norte
OT000335,E016,2015-12-01,Preventivo,13,4581,Planta Norte
OT000336,E011,2015-12-02,Preventivo,40,2491,Planta Norte
OT000337,E019,2015-12-03,Correctivo,10,522,Planta Sur
OT000338,E012,2015-12-04,Preventivo,38,2826,Planta Norte
OT000339,E018,2015-12-05,Correctivo,46,1347,Planta Oeste
OT000340,E014,2015-12-06,Preventivo,20,806,Planta Norte
OT000341,E009,2015-12-07,Preventivo,43,3865,Planta Sur
OT000342,E008,2015-12-08,Correctivo,22,3591,Planta Norte
OT000343,E019,2015-12-09,Preventivo,7,916,Planta Norte
OT000344,E008,2015-12-10,Correctivo,21,1897,Planta Sur
OT000345,E020,2015-12-11,Preventivo,16,4251,Planta Norte
OT000346,E002,2015-12-12,Preventivo,14,1235,Planta Este
OT000347,E010,2015-12-13,Preventivo,45,2296,Planta Oeste
OT000348,E012,2015-12-14,Preventivo,29,607,Planta Este
OT000349,E006,2015-12-15,Preventivo,11,4439,Planta Sur
OT000350,E006,2015-12-16,Preventivo,18,1698,Planta Sur
OT000351,E006,2015-12-17,Correctivo,46,2469,Planta Oeste
OT000352,E009,2015-12-18,Preventivo,6,4719,Planta Sur
OT000353,E020,2015-12-19,Preventivo,14,4737,Planta Norte
OT000354,E003,2015-12-20,Preventivo,30,1650,Planta Oeste
OT000355,E010,2015-12-21,Correctivo,20,3523,Planta Este
OT000356,E007,2015-12-22,Preventivo,42,745,Planta Oeste
OT000357,E010,2015-12-23,Preventivo,29,2422,Planta Oeste
OT000358,E011,2015-12-24,Preventivo,33,1500,Planta Oeste
OT000359,E003,2015-12-25,Preventivo,10,1181,Planta Sur
OT000360,E002,2015-12-26,Correctivo,10,2127,Planta Norte
OT000361,E008,2015-12-27,Preventivo,41,4122,Planta Sur
OT000362,E017,2015-12-28,Preventivo,2,1625,Planta Sur
OT000363,E013,2015-12-29,Correctivo,32,4662,Planta Este
OT000364,E018,2015-12-30,Correctivo,47,4686,Planta Norte
OT000365,E010,2015-12-31,Correctivo,7,1857,Planta Oeste
OT000366,E002,2016-01-01,Preventivo,6,3171,Planta Oeste
OT000367,E011,2016-01-02,Preventivo,25,1916,Planta Oeste
OT000368,E013,2016-01-03,Preventivo,31,2127,Planta Norte
OT000369,E018,2016-01-04,Preventivo,10,4760,Planta Norte
OT000370,E011,2016-01-05,Preventivo,41,4376,Planta Norte
OT000371,E016,2016-01-06,Correctivo,16,1096,Planta Este
OT000372,E019,2016-01-07,Preventivo,37,4413,Planta Sur
OT000373,E015,2016-01-08,Preventivo,25,3185,Planta Norte
OT000374,E004,2016-01-09,Preventivo,40,1883,Planta Sur
OT000375,E008,2016-01-10,Preventivo,18,1357,Planta Norte
OT000376,E020,2016-01-11,Correctivo,22,1069,Planta Norte
OT000377,E003,2016-01-12,Correctivo,43,560,Planta Este
OT000378,E013,2016-01-13,Correctivo,38,1272,Planta Este
OT000379,E010,2016-01-14,Preventivo,3,4262,Planta Oeste
OT000380,E005,2016-01-15,Preventivo,17,1326,Planta Oeste
OT000381,E010,2016-01-16,Preventivo,32,4879,Planta Norte
OT000382,E008,2016-01-17,Correctivo,26,1377,Planta Oeste
OT000383,E010,2016-01-18,Preventivo,19,2787,Planta Norte
OT000384,E019,2016-01-19,Correctivo,21,3693,Planta Sur
OT000385,E017,2016-01-20,Preventivo,2,2380,Planta Sur
OT000386,E004,2016-01-21,Preventivo,13,4399,Planta Oeste
OT000387,E016,2016-01-22,Preventivo,27,2826,Planta Sur
OT000388,E002,2016-01-23,Correctivo,13,1342,Planta Norte
OT000389,E004,2016-01-24,Preventivo,38,2277,Planta Este
OT000390,E020,2016-01-25,Correctivo,17,1782,Planta Este
OT000391,E007,2016-01-26,Preventivo,18,3640,Planta Sur
OT000392,E010,2016-01-27,Preventivo,29,668,Planta Sur
OT000393,E013,2016-01-28,Correctivo,20,1831,Planta Oeste
OT000394,E017,2016-01-29,Preventivo,28,3002,Planta Este
OT000395,E019,2016-01-30,Preventivo,3,1967,Planta Oeste
OT000396,E015,2016-01-31,Correctivo,38,4130,Planta Este
OT000397,E004,2016-02-01,Preventivo,11,2179,Planta Oeste
OT000398,E005,2016-02-02,Preventivo,41,3415,Planta Este
OT000399,E004,2016-02-03,Preventivo,36,2799,Planta Sur
OT000400,E006,2016-02-04,Preventivo,42,1892,Planta Este
OT000401,E007,2016-02-05,Correctivo,11,928,Planta Oeste
OT000402,E009,2016-02-06,Correctivo,42,2245,Planta Norte
OT000403,E003,2016-02-07,Correctivo,46,1154,Planta Oeste
OT000404,E002,2016-02-08,Correctivo,9,4879,Planta Este
OT000405,E016,2016-02-09,Preventivo,34,2028,Planta Sur
OT000406,E003,2016-02-10,Preventivo,20,2918,Planta Este
OT000407,E006,2016-02-11,Preventivo,5,3985,Planta Sur
OT000408,E018,2016-02-12,Correctivo,44,4482,Planta Sur
OT000409,E020,2016-02-13,Preventivo,4,4799,Planta Sur
OT000410,E018,2016-02-14,Preventivo,47,1355,Planta Sur
OT000411,E005,2016-02-15,Correctivo,28,3982,Planta Sur
OT000412,E005,2016-02-16,Preventivo,4,3609,Planta Oeste
OT000413,E012,2016-02-17,Correctivo,4,3150,Planta Sur
OT000414,E017,2016-02-18,Correctivo,40,3768,Planta Oeste
OT000415,E004,2016-02-19,Preventivo,15,4842,Planta Norte
OT000416,E020,2016-02-20,Preventivo,8,1641,Planta Oeste
OT000417,E017,2016-02-21,Correctivo,31,4414,Planta Oeste
OT000418,E006,2016-02-22,Correctivo,16,3539,Planta Sur
OT000419,E014,2016-02-23,Correctivo,32,857,Planta Sur
OT000420,E018,2016-02-24,Preventivo,20,1919,Planta Norte
OT000421,E014,2016-02-25,Preventivo,17,3185,Planta Oeste
