ID_Registro,ID_Equipo,Fecha,Temperatura_C,Vibracion_mm_s,Horas_Operativas
76,414,2020-01-04 03:00:00,57.86,4.3,37454.0
77,440,2020-01-04 04:00:00,124.88,4.47,27094.0
78,347,2020-01-04 05:00:00,50.35,0.79,35419.0
79,208,2020-01-04 06:00:00,87.81,2.03,20685.0
80,92,2020-01-04 07:00:00,120.99,4.36,83131.0
81,342,2020-01-04 08:00:00,115.24,0.71,80836.0
82,248,2020-01-04 09:00:00,148.12,1.95,15362.0
83,207,2020-01-04 10:00:00,75.14,3.53,66037.0
84,429,2020-01-04 11:00:00,126.01,2.33,49792.0
85,42,2020-01-04 12:00:00,56.4,0.3,84802.0
86,296,2020-01-04 13:00:00,114.23,2.68,75568.0
87,94,2020-01-04 14:00:00,105.92,0.68,12311.0
88,121,2020-01-04 15:00:00,118.98,1.16,57158.0
89,131,2020-01-04 16:00:00,141.09,4.82,42064.0
90,428,2020-01-04 17:00:00,124.2,0.62,
91,398,2020-01-04 18:00:00,91.24,3.87,10057.0
92,121,2020-01-04 19:00:00,103.81,3.1,76592.0
93,440,2020-01-04 20:00:00,86.86,2.6,92695.0
94,22,2020-01-04 21:00:00,139.75,4.78,43369.0
95,348,2020-01-04 22:00:00,58.94,3.31,25735.0
96,480,2020-01-04 23:00:00,79.52,3.41,16299.0
97,264,2020-01-05 00:00:00,70.1,1.85,71571.0
98,498,2020-01-05 01:00:00,111.49,1.24,76665.0
99,337,2020-01-05 02:00:00,140.26,2.83,77730.0
100,18,2020-01-05 03:00:00,74.28,0.71,4759.0
101,488,2020-01-05 04:00:00,91.4,3.45,32386.0
102,437,2020-01-05 05:00:00,118.79,4.93,10054.0
103,159,2020-01-05 06:00:00,139.97,3.28,48372.0
104,442,2020-01-05 07:00:00,67.42,2.26,1132.0
105,204,2020-01-05 08:00:00,92.16,0.65,35067.0
106,104,2020-01-05 09:00:00,125.36,2.68,48746.0
107,32,2020-01-05 10:00:00,62.94,1.16,34045.0
108,397,2020-01-05 11:00:00,109.99,1.59,31625.0
109,28,2020-01-05 12:00:00,57.62,2.4,96218.0
110,348,2020-01-05 13:00:00,138.71,3.56,78288.0
111,178,2020-01-05 14:00:00,110.11,3.99,82904.0
112,20,2020-01-05 15:00:00,141.26,4.6,2382.0
113,51,2020-01-05 16:00:00,96.62,4.68,73661.0
114,275,2020-01-05 17:00:00,75.04,3.36,64889.0
115,115,2020-01-05 18:00:00,120.35,1.89,5381.0
116,493,2020-01-05 19:00:00,88.39,2.61,87016.0
117,282,2020-01-05 20:00:00,99.97,3.08,70335.0
118,199,2020-01-05 21:00:00,86.16,2.88,78881.0
119,52,2020-01-05 22:00:00,137.73,1.63,82227.0
120,469,2020-01-05 23:00:00,86.13,4.57,46898.0
121,468,2020-01-06 00:00:00,105.08,1.38,5470.0
122,400,2020-01-06 01:00:00,143.06,2.58,6006.0
123,427,2020-01-06 02:00:00,82.0,1.5,29889.0
124,61,2020-01-06 03:00:00,110.78,2.77,19577.0
125,138,2020-01-06 04:00:00,89.54,2.27,40864.0
126,180,2020-01-06 05:00:00,115.36,1.61,76334.0
127,217,2020-01-06 06:00:00,79.03,3.91,75093.0
128,357,2020-01-06 07:00:00,65.07,1.77,47621.0
129,85,2020-01-06 08:00:00,95.57,3.94,91326.0
130,329,2020-01-06 09:00:00,89.25,3.45,19569.0
131,426,2020-01-06 10:00:00,105.35,3.26,97241.0
132,63,2020-01-06 11:00:00,51.03,2.37,42437.0
133,53,2020-01-06 12:00:00,137.17,1.15,8322.0
134,477,2020-01-06 13:00:00,127.36,2.15,86421.0
135,274,2020-01-06 14:00:00,142.57,2.38,27517.0
136,218,2020-01-06 15:00:00,57.25,3.01,54234.0
137,161,2020-01-06 16:00:00,103.61,0.99,54956.0
138,246,2020-01-06 17:00:00,111.35,2.32,43693.0
139,212,2020-01-06 18:00:00,66.16,4.53,80363.0
140,361,2020-01-06 19:00:00,112.78,1.76,9946.0
141,459,2020-01-06 20:00:00,146.97,2.18,17386.0
142,410,2020-01-06 21:00:00,121.31,2.34,61046.0
143,330,2020-01-06 22:00:00,135.83,2.58,27153.0
144,309,2020-01-06 23:00:00,138.65,1.78,95654.0
145,103,2020-01-07 00:00:00,91.44,2.06,26938.0
146,307,2020-01-07 01:00:00,138.68,1.52,31713.0
147,131,2020-01-07 02:00:00,117.45,0.96,93195.0
148,53,2020-01-07 03:00:00,107.25,2.15,78214.0
149,38,2020-01-07 04:00:00,104.21,2.26,38220.0
150,59,2020-01-07 05:00:00,63.44,0.3,45562.0
151,411,2020-01-07 06:00:00,102.39,2.62,
152,186,2020-01-07 07:00:00,64.63,4.58,78332.0
153,283,2020-01-07 08:00:00,74.61,2.87,56472.0
154,402,2020-01-07 09:00:00,79.28,4.28,26694.0
155,374,2020-01-07 10:00:00,102.33,2.18,91695.0
156,169,2020-01-07 11:00:00,120.36,0.58,87017.0
157,436,2020-01-07 12:00:00,149.49,2.62,70867.0
158,26,2020-01-07 13:00:00,88.78,1.22,33889.0
159,451,2020-01-07 14:00:00,109.43,3.53,32800.0
160,325,2020-01-07 15:00:00,84.03,3.24,51401.0
161,443,2020-01-07 16:00:00,56.61,0.68,17833.0
162,80,2020-01-07 17:00:00,87.34,0.67,32469.0
163,286,2020-01-07 18:00:00,135.77,1.85,17445.0
164,385,2020-01-07 19:00:00,90.81,2.69,36144.0
165,274,2020-01-07 20:00:00,140.33,4.5,571.0
166,155,2020-01-07 21:00:00,109.51,1.39,78211.0
167,122,2020-01-07 22:00:00,108.95,0.45,72107.0
168,266,2020-01-07 23:00:00,103.85,3.6,23348.0
169,290,2020-01-08 00:00:00,118.73,2.89,21596.0
170,202,2020-01-08 01:00:00,104.94,2.47,6046.0
171,328,2020-01-08 02:00:00,65.12,2.56,85497.0
172,376,2020-01-08 03:00:00,72.53,2.27,58863.0
173,261,2020-01-08 04:00:00,84.15,1.93,82461.0
174,293,2020-01-08 05:00:00,78.49,1.65,3968.0
175,146,2020-01-08 06:00:00,141.87,4.35,74018.0
176,243,2020-01-08 07:00:00,62.22,2.81,37176.0
177,294,2020-01-08 08:00:00,138.91,2.52,11514.0
178,296,2020-01-08 09:00:00,110.86,4.5,13179.0
179,106,2020-01-08 10:00:00,91.96,4.64,84193.0
180,153,2020-01-08 11:00:00,56.49,0.36,18719.0
181,492,2020-01-08 12:00:00,58.22,0.75,81330.0
182,152,2020-01-08 13:00:00,89.96,0.75,60575.0
183,312,2020-01-08 14:00:00,132.48,4.77,65506.0
184,203,2020-01-08 15:00:00,113.99,0.86,62620.0
185,231,2020-01-08 16:00:00,71.52,4.87,13061.0
186,173,2020-01-08 17:00:00,77.6,3.86,67845.0
187,465,2020-01-08 18:00:00,136.13,3.38,35290.0
188,55,2020-01-08 19:00:00,61.02,4.95,91436.0
189,52,2020-01-08 20:00:00,50.35,1.76,3175.0
190,101,2020-01-08 21:00:00,114.59,4.28,54915.0
191,222,2020-01-08 22:00:00,104.42,1.84,63251.0
192,209,2020-01-08 23:00:00,108.42,2.45,20827.0
193,134,2020-01-09 00:00:00,148.66,4.86,68307.0
194,140,2020-01-09 01:00:00,122.35,4.49,89376.0
195,321,2020-01-09 02:00:00,149.39,0.6,84761.0
196,271,2020-01-09 03:00:00,69.65,4.65,48939.0
197,395,2020-01-09 04:00:00,105.21,4.67,33177.0
198,131,2020-01-09 05:00:00,145.65,3.95,83335.0
199,198,2020-01-09 06:00:00,84.06,2.16,57311.0
200,8,2020-01-09 07:00:00,60.5,1.06,73452.0
201,331,2020-01-09 08:00:00,105.04,3.41,93119.0
202,256,2020-01-09 09:00:00,52.56,0.48,10619.0
203,426,2020-01-09 10:00:00,56.35,4.8,21441.0
204,43,2020-01-09 11:00:00,130.6,4.35,37792.0
205,109,2020-01-09 12:00:00,83.4,4.14,64339.0
206,332,2020-01-09 13:00:00,79.97,1.99,99337.0
207,427,2020-01-09 14:00:00,122.4,1.27,2677.0
208,397,2020-01-09 15:00:00,51.22,2.18,76902.0
209,177,2020-01-09 16:00:00,106.69,0.49,95551.0
210,197,2020-01-09 17:00:00,64.52,2.33,31018.0
211,167,2020-01-09 18:00:00,85.44,2.26,47782.0
212,210,2020-01-09 19:00:00,121.9,2.26,12027.0
213,115,2020-01-09 20:00:00,66.03,3.16,57399.0
214,154,2020-01-09 21:00:00,73.08,4.03,62460.0
215,90,2020-01-09 22:00:00,57.49,1.24,17628.0
216,50,2020-01-09 23:00:00,136.19,0.66,92729.0
217,175,2020-01-10 00:00:00,148.2,1.95,25993.0
218,132,2020-01-10 01:00:00,139.73,4.21,62020.0
219,121,2020-01-10 02:00:00,71.9,3.22,47652.0
220,226,2020-01-10 03:00:00,116.53,4.77,78368.0
221,169,2020-01-10 04:00:00,88.06,3.95,78737.0
222,40,2020-01-10 05:00:00,93.91,2.43,95779.0
223,473,2020-01-10 06:00:00,120.74,3.69,
224,271,2020-01-10 07:00:00,145.3,4.9,13111.0
225,286,2020-01-10 08:00:00,112.87,2.91,10692.0
226,470,2020-01-10 09:00:00,51.04,2.01,54846.0
227,320,2020-01-10 10:00:00,56.6,4.08,91576.0
228,325,2020-01-10 11:00:00,121.77,0.49,9719.0
229,352,2020-01-10 12:00:00,120.62,1.75,76596.0
230,290,2020-01-10 13:00:00,89.7,2.92,56211.0
231,495,2020-01-10 14:00:00,61.51,1.89,11904.0
232,215,2020-01-10 15:00:00,124.83,2.54,37580.0
233,440,2020-01-10 16:00:00,102.71,0.51,82014.0
234,128,2020-01-10 17:00:00,68.09,1.18,72445.0
235,452,2020-01-10 18:00:00,95.98,0.27,88499.0
236,230,2020-01-10 19:00:00,133.27,4.06,26726.0
237,52,2020-01-10 20:00:00,76.61,1.65,84928.0
238,70,2020-01-10 21:00:00,130.63,1.71,72769.0
239,492,2020-01-10 22:00:00,66.53,2.23,66077.0
240,226,2020-01-10 23:00:00,91.02,0.91,32694.0
241,212,2020-01-11 00:00:00,58.42,1.76,11095.0
242,155,2020-01-11 01:00:00,79.33,3.23,44676.0
243,105,2020-01-11 02:00:00,90.77,2.63,67107.0
244,210,2020-01-11 03:00:00,131.8,1.71,25524.0
245,160,2020-01-11 04:00:00,106.09,2.24,40364.0
246,98,2020-01-11 05:00:00,119.12,0.33,31813.0
247,72,2020-01-11 06:00:00,113.17,4.54,69643.0
248,462,2020-01-11 07:00:00,50.02,4.73,75970.0
249,319,2020-01-11 08:00:00,127.52,2.32,64356.0
250,51,2020-01-11 09:00:00,118.66,3.97,38911.0
251,84,2020-01-11 10:00:00,54.88,2.02,35259.0
252,494,2020-01-11 11:00:00,118.49,4.53,67660.0
253,28,2020-01-11 12:00:00,144.07,2.95,25393.0
254,170,2020-01-11 13:00:00,57.1,2.79,41989.0
255,122,2020-01-11 14:00:00,135.56,3.92,17166.0
256,172,2020-01-11 15:00:00,999.0,2.44,50916.0
257,69,2020-01-11 16:00:00,109.57,0.29,14675.0
258,152,2020-01-11 17:00:00,72.12,3.77,25625.0
259,260,2020-01-11 18:00:00,76.12,0.22,36915.0
260,344,2020-01-11 19:00:00,65.41,4.26,44676.0
261,413,2020-01-11 20:00:00,129.65,1.79,48683.0
262,469,2020-01-11 21:00:00,147.04,4.0,57063.0
263,303,2020-01-11 22:00:00,104.65,1.37,46135.0
264,207,2020-01-11 23:00:00,89.98,4.83,79874.0
265,16,2020-01-12 00:00:00,115.27,0.89,79384.0
266,256,2020-01-12 01:00:00,113.39,0.79,31251.0
267,5,2020-01-12 02:00:00,129.16,4.32,91953.0
268,460,2020-01-12 03:00:00,88.1,0.55,51369.0
269,39,2020-01-12 04:00:00,133.14,3.22,9952.0
270,179,2020-01-12 05:00:00,147.42,3.12,87529.0
271,100,2020-01-12 06:00:00,101.91,3.38,39175.0
272,470,2020-01-12 07:00:00,85.54,4.29,56730.0
273,362,2020-01-12 08:00:00,89.46,3.1,71434.0
274,38,2020-01-12 09:00:00,69.66,2.15,60444.0
275,13,2020-01-12 10:00:00,55.03,4.67,58681.0
276,323,2020-01-12 11:00:00,111.64,3.91,67421.0
277,411,2020-01-12 12:00:00,117.31,3.28,58158.0
278,439,2020-01-12 13:00:00,55.64,4.49,10403.0
279,3,2020-01-12 14:00:00,105.76,0.73,47564.0
280,467,2020-01-12 15:00:00,59.98,3.33,33486.0
281,402,2020-01-12 16:00:00,97.89,4.78,28862.0
282,253,2020-01-12 17:00:00,81.97,1.33,60077.0
283,90,2020-01-12 18:00:00,89.58,0.94,36028.0
284,472,2020-01-12 19:00:00,77.24,2.43,41287.0
285,409,2020-01-12 20:00:00,66.47,4.23,84055.0
286,180,2020-01-12 21:00:00,76.87,0.23,74847.0
287,131,2020-01-12 22:00:00,133.41,3.44,19116.0
288,280,2020-01-12 23:00:00,147.56,4.88,8430.0
289,497,2020-01-13 00:00:00,52.96,0.95,18077.0
290,32,2020-01-13 01:00:00,135.02,0.27,43845.0
291,119,2020-01-13 02:00:00,65.97,4.7,11449.0
292,380,2020-01-13 03:00:00,51.65,2.48,14576.0
293,381,2020-01-13 04:00:00,144.06,4.81,47981.0
294,49,2020-01-13 05:00:00,114.25,3.04,13086.0
295,230,2020-01-13 06:00:00,73.13,2.27,36470.0
296,142,2020-01-13 07:00:00,93.62,4.78,42693.0
297,235,2020-01-13 08:00:00,81.56,3.96,24000.0
298,5,2020-01-13 09:00:00,117.31,4.47,63873.0
299,290,2020-01-13 10:00:00,123.27,4.56,96412.0
300,450,2020-01-13 11:00:00,107.5,2.72,15314.0
301,419,2020-01-13 12:00:00,999.0,2.46,58413.0
302,345,2020-01-13 13:00:00,67.75,2.49,87613.0
303,492,2020-01-13 14:00:00,143.86,2.57,50898.0
304,188,2020-01-13 15:00:00,52.66,0.55,12385.0
305,225,2020-01-13 16:00:00,59.4,2.75,51464.0
306,8,2020-01-13 17:00:00,83.21,3.79,84786.0
307,231,2020-01-13 18:00:00,117.5,1.2,45603.0
308,381,2020-01-13 19:00:00,113.46,0.72,69024.0
309,44,2020-01-13 20:00:00,74.97,2.75,69988.0
310,350,2020-01-13 21:00:00,129.76,3.4,48634.0
311,397,2020-01-13 22:00:00,93.79,0.13,67319.0
312,224,2020-01-13 23:00:00,89.22,4.25,48505.0
313,159,2020-01-14 00:00:00,51.99,4.82,70959.0
314,307,2020-01-14 01:00:00,53.75,3.08,75269.0
315,493,2020-01-14 02:00:00,129.83,2.69,65504.0
316,202,2020-01-14 03:00:00,137.34,1.84,59658.0
317,488,2020-01-14 04:00:00,61.64,4.32,66995.0
318,12,2020-01-14 05:00:00,104.1,3.76,32807.0
319,19,2020-01-14 06:00:00,134.41,2.0,81443.0
320,25,2020-01-14 07:00:00,115.83,0.83,55123.0
321,198,2020-01-14 08:00:00,102.95,2.99,89711.0
322,148,2020-01-14 09:00:00,87.34,1.22,45622.0
323,454,2020-01-14 10:00:00,138.21,2.52,3106.0
324,108,2020-01-14 11:00:00,55.46,0.75,70366.0
325,83,2020-01-14 12:00:00,102.21,3.39,97020.0
326,26,2020-01-14 13:00:00,75.08,1.68,22036.0
327,290,2020-01-14 14:00:00,62.71,1.9,11413.0
328,166,2020-01-14 15:00:00,141.0,2.47,64394.0
329,330,2020-01-14 16:00:00,147.78,0.59,81732.0
330,256,2020-01-14 17:00:00,68.86,2.12,55148.0
331,387,2020-01-14 18:00:00,52.65,3.45,35427.0
332,465,2020-01-14 19:00:00,53.35,2.61,48211.0
333,250,2020-01-14 20:00:00,108.37,0.92,50773.0
334,244,2020-01-14 21:00:00,59.76,4.56,79065.0
335,315,2020-01-14 22:00:00,55.4,3.99,4695.0
336,142,2020-01-14 23:00:00,135.71,3.58,45251.0
337,16,2020-01-15 00:00:00,139.72,4.28,6290.0
338,202,2020-01-15 01:00:00,51.25,4.37,79206.0
339,309,2020-01-15 02:00:00,84.67,1.23,62270.0
340,282,2020-01-15 03:00:00,96.71,3.25,72865.0
341,356,2020-01-15 04:00:00,69.87,4.31,13769.0
342,161,2020-01-15 05:00:00,131.77,3.53,9481.0
343,474,2020-01-15 06:00:00,96.04,4.23,34936.0
344,464,2020-01-15 07:00:00,116.0,4.96,28482.0
345,278,2020-01-15 08:00:00,126.01,3.59,98748.0
346,427,2020-01-15 09:00:00,140.04,4.69,97843.0
347,236,2020-01-15 10:00:00,94.02,2.47,15558.0
348,283,2020-01-15 11:00:00,127.19,3.21,84588.0
349,266,2020-01-15 12:00:00,116.46,1.72,68745.0
350,33,2020-01-15 13:00:00,84.97,1.83,38122.0
351,163,2020-01-15 14:00:00,109.74,2.79,6965.0
352,350,2020-01-15 15:00:00,136.85,0.86,1121.0
353,32,2020-01-15 16:00:00,129.85,3.26,51226.0
354,357,2020-01-15 17:00:00,100.01,0.53,84736.0
355,398,2020-01-15 18:00:00,116.18,3.22,44199.0
356,157,2020-01-15 19:00:00,74.63,3.18,16823.0
357,299,2020-01-15 20:00:00,136.65,0.19,99540.0
358,363,2020-01-15 21:00:00,59.01,2.77,31268.0
359,129,2020-01-15 22:00:00,89.22,3.11,63340.0
360,225,2020-01-15 23:00:00,59.61,3.53,47453.0
361,403,2020-01-16 00:00:00,146.34,4.81,90048.0
362,209,2020-01-16 01:00:00,108.1,0.67,67051.0
363,408,2020-01-16 02:00:00,109.71,2.08,2109.0
364,363,2020-01-16 03:00:00,117.25,3.42,76820.0
365,413,2020-01-16 04:00:00,94.82,2.2,63003.0
366,46,2020-01-16 05:00:00,130.65,2.88,10375.0
367,47,2020-01-16 06:00:00,69.41,1.85,87510.0
368,370,2020-01-16 07:00:00,137.59,1.91,75037.0
369,2,2020-01-16 08:00:00,59.93,2.37,26292.0
370,427,2020-01-16 09:00:00,56.06,4.8,20160.0
371,98,2020-01-16 10:00:00,82.95,3.48,91083.0
372,244,2020-01-16 11:00:00,133.44,1.64,68388.0
373,5,2020-01-16 12:00:00,98.13,3.23,18107.0
374,479,2020-01-16 13:00:00,115.25,0.73,7975.0
375,435,2020-01-16 14:00:00,142.83,1.53,24566.0
376,424,2020-01-16 15:00:00,107.87,2.5,12969.0
377,268,2020-01-16 16:00:00,60.71,1.02,20469.0
378,186,2020-01-16 17:00:00,120.78,2.08,64306.0
379,315,2020-01-16 18:00:00,52.78,0.52,95599.0
380,178,2020-01-16 19:00:00,81.71,4.78,91791.0
381,203,2020-01-16 20:00:00,125.31,1.66,55460.0
382,457,2020-01-16 21:00:00,98.0,4.71,40088.0
383,292,2020-01-16 22:00:00,97.64,0.2,61021.0
384,289,2020-01-16 23:00:00,66.64,3.44,61607.0
385,277,2020-01-17 00:00:00,83.61,3.57,94508.0
386,391,2020-01-17 01:00:00,147.26,0.47,94178.0
387,147,2020-01-17 02:00:00,85.54,4.52,95855.0
388,182,2020-01-17 03:00:00,77.2,2.88,13921.0
389,296,2020-01-17 04:00:00,138.09,1.91,10928.0
390,490,2020-01-17 05:00:00,92.16,0.56,59384.0
391,125,2020-01-17 06:00:00,123.24,3.92,43297.0
392,375,2020-01-17 07:00:00,147.88,0.17,76287.0
393,333,2020-01-17 08:00:00,69.02,3.93,51312.0
394,197,2020-01-17 09:00:00,76.47,2.09,68442.0
395,329,2020-01-17 10:00:00,103.68,1.32,6174.0
396,61,2020-01-17 11:00:00,112.35,3.03,46965.0
397,312,2020-01-17 12:00:00,89.66,1.53,22905.0
398,66,2020-01-17 13:00:00,66.35,0.69,38669.0
399,56,2020-01-17 14:00:00,125.42,2.67,2078.0
400,340,2020-01-17 15:00:00,89.1,2.06,46240.0
401,102,2020-01-17 16:00:00,138.99,1.18,82720.0
402,203,2020-01-17 17:00:00,66.27,2.53,59686.0
403,250,2020-01-17 18:00:00,50.11,3.63,98363.0
404,126,2020-01-17 19:00:00,57.72,1.71,68918.0
405,283,2020-01-17 20:00:00,97.19,1.18,14744.0
406,151,2020-01-17 21:00:00,67.25,4.78,59506.0
407,297,2020-01-17 22:00:00,50.21,3.34,43414.0
408,419,2020-01-17 23:00:00,98.81,0.65,97295.0
409,273,2020-01-18 00:00:00,87.15,3.3,20471.0
410,75,2020-01-18 01:00:00,59.03,1.99,69691.0
411,473,2020-01-18 02:00:00,57.53,1.41,71278.0
412,297,2020-01-18 03:00:00,97.52,1.49,64263.0
413,93,2020-01-18 04:00:00,104.37,0.75,10719.0
414,48,2020-01-18 05:00:00,84.89,1.1,59166.0
415,252,2020-01-18 06:00:00,111.56,2.94,42919.0
416,217,2020-01-18 07:00:00,61.51,0.45,52893.0
417,120,2020-01-18 08:00:00,148.41,2.56,75125.0
418,301,2020-01-18 09:00:00,98.99,2.3,93771.0
419,363,2020-01-18 10:00:00,113.05,2.56,90188.0
420,176,2020-01-18 11:00:00,64.88,0.27,43908.0
421,21,2020-01-18 12:00:00,134.28,0.37,13242.0
422,20,2020-01-18 13:00:00,138.79,4.01,98509.0
423,35,2020-01-18 14:00:00,64.03,3.94,20712.0
424,279,2020-01-18 15:00:00,134.31,1.75,72279.0
425,454,2020-01-18 16:00:00,70.12,2.57,8013.0
426,478,2020-01-18 17:00:00,143.84,2.15,92888.0
427,412,2020-01-18 18:00:00,70.35,2.27,98399.0
428,491,2020-01-18 19:00:00,79.06,2.57,66091.0
429,290,2020-01-18 20:00:00,147.68,3.07,54729.0
430,451,2020-01-18 21:00:00,74.83,4.46,7322.0
431,377,2020-01-18 22:00:00,78.15,4.86,93366.0
432,93,2020-01-18 23:00:00,149.76,0.38,14263.0
433,471,2020-01-19 00:00:00,130.67,3.2,9893.0
434,251,2020-01-19 01:00:00,115.23,4.83,80376.0
435,348,2020-01-19 02:00:00,50.36,2.2,63089.0
436,310,2020-01-19 03:00:00,114.25,4.27,16173.0
437,90,2020-01-19 04:00:00,89.91,1.5,51189.0
438,488,2020-01-19 05:00:00,51.12,4.84,66952.0
439,491,2020-01-19 06:00:00,121.99,3.88,95653.0
440,146,2020-01-19 07:00:00,124.93,0.72,88103.0
441,397,2020-01-19 08:00:00,116.31,3.56,25594.0
442,85,2020-01-19 09:00:00,144.14,4.67,24087.0
443,271,2020-01-19 10:00:00,115.22,4.26,5088.0
444,402,2020-01-19 11:00:00,66.6,2.47,64417.0
445,309,2020-01-19 12:00:00,146.29,3.14,11492.0
446,423,2020-01-19 13:00:00,83.26,2.94,96696.0
447,401,2020-01-19 14:00:00,57.95,2.95,54670.0
448,148,2020-01-19 15:00:00,118.03,3.33,52161.0
449,66,2020-01-19 16:00:00,57.54,1.6,81374.0
450,323,2020-01-19 17:00:00,138.72,2.98,92718.0
451,482,2020-01-19 18:00:00,106.75,0.81,54027.0
452,481,2020-01-19 19:00:00,110.78,3.47,3089.0
453,461,2020-01-19 20:00:00,79.63,1.37,90848.0
454,142,2020-01-19 21:00:00,76.33,2.2,20330.0
455,34,2020-01-19 22:00:00,114.39,1.62,76663.0
456,276,2020-01-19 23:00:00,55.82,3.32,85699.0
457,345,2020-01-20 00:00:00,117.76,4.87,53280.0
458,79,2020-01-20 01:00:00,67.69,1.1,99640.0
459,268,2020-01-20 02:00:00,74.17,3.8,92376.0
460,429,2020-01-20 03:00:00,145.35,1.11,75026.0
461,458,2020-01-20 04:00:00,116.41,2.98,96844.0
462,90,2020-01-20 05:00:00,105.3,2.67,92015.0
463,47,2020-01-20 06:00:00,121.26,0.19,42283.0
